Price,High,Low,Open,Date,Volumefrom,Volumeto
1.04,1.13,0.7493,0.9502,2018-01-18,542919.64,580924.01
0.9176,0.9828,0.7728,0.92,2018-01-17,2387273.19,2190561.88
0.9299,1.19,0.848,1.19,2018-01-16,3560082.59,3310520.8
1.43,1.65,1.43,1.53,2018-01-15,1533774.6,2193297.68
1.53,1.73,1.52,1.7,2018-01-14,1858591.54,2843645.06
1.78,1.92,1.5,1.64,2018-01-13,3704949.59,6594810.27
1.6,1.63,1.37,1.48,2018-01-12,2498957.07,3998331.31
1.43,1.64,1.29,1.55,2018-01-11,2801591.65,4006276.06
1.74,2.09,1.72,2.08,2018-01-10,2836776.37,4935990.88
1.99,2.31,1.88,1.97,2018-01-09,4824026.84,9599813.41
2.04,2.04,1.67,1.73,2018-01-08,3137476.84,6400452.75
1.87,2.24,1.82,1.87,2018-01-07,3746767.72,7006455.64
1.97,2.26,1.57,1.67,2018-01-06,4616280.12,9094071.84
1.65,2.28,1.56,1.9,2018-01-05,6381534.81,10529532.44
1.7,2.08,1.51,1.78,2018-01-04,5956906.79,10126741.54
1.75,1.8,1.24,1.27,2018-01-03,8473884.06,14829297.11
1.24,1.5,1.01,1.05,2018-01-02,11608459.04,14394489.21
0.9579,0.991,0.8629,0.9073,2018-01-01,2734936.49,2619795.66
0.9346,1.04,0.831,0.9223,2017-12-31,4236419.3,3959357.48
0.8345,0.8864,0.777,0.8864,2017-12-30,3135140.36,2616274.63
1.02,1.13,1.01,1.12,2017-12-29,4409895.42,4498093.33
1.12,1.22,0.89,0.9826,2017-12-28,11315277.04,12673110.28
1.05,1.2,0.8364,0.9914,2017-12-27,5614331.61,5895048.19
1.01,1.4,0.803,1.07,2017-12-26,12044473.32,12164918.05
0.9393,1.11,0.7799,0.8231,2017-12-25,9286971.01,8723251.87
0.8213,0.8412,0.6239,0.667,2017-12-24,5857965.06,4811146.7
0.6965,0.7686,0.6083,0.645,2017-12-23,3768045.43,2624443.64
0.6147,0.701,0.5175,0.6908,2017-12-22,5171648.11,3179012.09
0.7899,0.8676,0.6361,0.642,2017-12-21,11226722.37,8867988.0
0.6766,0.7067,0.6129,0.7067,2017-12-20,4359889.02,2949900.91
0.7523,0.834,0.6871,0.7583,2017-12-19,8423789.32,6337216.71
0.8209,0.9222,0.5847,0.6172,2017-12-18,14357555.95,11786117.68
0.621,0.7266,0.5598,0.5775,2017-12-17,10880525.79,6756806.52
0.586,0.7736,0.5697,0.7581,2017-12-16,7473745.59,4379614.92
0.6876,0.8044,0.5088,0.803,2017-12-15,12703423.11,8734873.73
0.7511,1.3,0.6707,1.3,2017-12-14,37581851.17,28227728.41
1.28,1.34,0.3884,0.4723,2017-12-13,33909880.08,43404646.5
0.4954,0.5638,0.3758,0.3758,2017-12-12,16890.48,8367.54
0.3681,0.5185,0.349,0.3656,2017-12-11,23716.66,8730.1
0.3291,0.4322,0.3164,0.3834,2017-12-10,2161337.44,711296.15
0.3779,0.4818,0.3252,0.3488,2017-12-09,2146777.03,811267.04
0.3709,0.4042,0.2889,0.3298,2017-12-08,1669268.38,619131.64
0.3392,0.5736,0.3373,0.5247,2017-12-07,2626425.06,890883.38
0.4282,0.5775,0.418,0.5775,2017-12-06,2706063.54,1158736.41
0.49,0.5915,0.4724,0.5314,2017-12-05,4609260.04,2258537.42
0.5204,0.5578,0.4104,0.4416,2017-12-04,4165789.98,2167877.11
0.4091,0.444,0.389,0.3949,2017-12-03,1522973.58,623048.49
0.3842,0.4045,0.3723,0.3847,2017-12-02,738363.98,283679.44
0.3829,0.4284,0.3693,0.4055,2017-12-01,930969.03,356468.04
0.3658,0.4688,0.3336,0.3673,2017-11-30,2197158.9,803720.73
0.3633,0.5132,0.3475,0.483,2017-11-29,2498858.03,907835.12
0.4847,0.5165,0.4433,0.4732,2017-11-28,2701203.47,1309273.32
0.465,0.5947,0.4285,0.435,2017-11-27,6577965.31,3058753.87
0.4164,0.4379,0.4009,0.4327,2017-11-26,962220.09,400668.45
0.4065,0.4175,0.3884,0.398,2017-11-25,1099529.71,446958.83
0.3728,0.3998,0.361,0.3781,2017-11-24,1005982.92,375030.43
0.3694,0.3944,0.3673,0.3708,2017-11-23,893912.17,330211.16
0.381,0.4111,0.3613,0.37,2017-11-22,2551784.9,972230.05
0.3639,0.3716,0.3271,0.3425,2017-11-21,1261059.5,458899.55
0.3486,0.3629,0.3418,0.3534,2017-11-20,978415.57,341075.67
0.3416,0.3743,0.3371,0.3441,2017-11-19,1214945.84,415025.5
0.3329,0.3364,0.3143,0.3234,2017-11-18,797166.4,265376.69
0.3191,0.3413,0.3105,0.3222,2017-11-17,828398.04,264341.81
