Price,High,Low,Open,Date,Volumefrom,Volumeto
0.6862,0.7219,0.6341,0.7166,2018-01-11,17550546.8,12262567.05
0.797,0.9181,0.7846,0.9181,2018-01-10,25181820.6,20069911.02
0.8898,0.971,0.7839,0.8262,2018-01-09,44206686.29,39335109.46
0.8551,0.9607,0.6181,0.6953,2018-01-08,46807318.56,40024938.1
0.7554,0.8218,0.6193,0.6228,2018-01-07,49110096.6,37097766.97
0.6603,0.7745,0.5548,0.5571,2018-01-06,33740330.75,22278740.39
0.5487,0.7567,0.5168,0.7019,2018-01-05,36845004.06,20216853.73
0.6357,0.7259,0.5982,0.6465,2018-01-04,28657324.58,18217461.24
0.6457,0.6971,0.5006,0.5791,2018-01-03,39440132.46,25466493.53
0.5626,0.6756,0.4825,0.5183,2018-01-02,59489579.47,33468837.41
0.4723,0.4928,0.3847,0.3981,2018-01-01,33789922.36,15958980.33
0.4104,0.447,0.3598,0.3828,2017-12-31,28017271.94,11498288.4
0.3462,0.3474,0.3129,0.3274,2017-12-30,24010883.81,8312567.98
0.3761,0.3957,0.3623,0.383,2017-12-29,22015454.58,8280012.47
0.383,0.4035,0.3297,0.3767,2017-12-28,26762576.41,10250066.77
0.4033,0.5023,0.3601,0.3962,2017-12-27,40461845.58,16318262.32
0.4049,0.494,0.3348,0.4413,2017-12-26,41743130.78,16901793.65
0.3866,0.4589,0.346,0.3698,2017-12-25,53862654.87,20823302.37
0.3682,0.3737,0.2986,0.3133,2017-12-24,19134154.99,7045195.87
0.3271,0.3484,0.3151,0.321,2017-12-23,19216579.85,6285743.27
0.3047,0.3288,0.257,0.3236,2017-12-22,28580552.59,8708494.37
0.3702,0.3941,0.3345,0.363,2017-12-21,41290796.1,15285852.72
0.3826,0.3827,0.308,0.3485,2017-12-20,33771672.16,12921041.77
0.3712,0.4006,0.3389,0.3584,2017-12-19,44262203.88,16430130.08
0.388,0.4489,0.3091,0.3092,2017-12-18,63775960.52,24745072.68
0.311,0.3529,0.2641,0.266,2017-12-17,59099806.47,18380039.81
0.2699,0.2898,0.2488,0.2573,2017-12-16,32666497.27,8816687.61
0.2341,0.2591,0.2025,0.2547,2017-12-15,29523477.25,6911446.02
0.2381,0.2562,0.2225,0.2383,2017-12-14,37428688.21,8911770.66
0.2313,0.2423,0.2165,0.2298,2017-12-13,37221348.13,8609297.82
0.2412,0.2956,0.2065,0.2142,2017-12-12,92568373.36,22327491.65
0.2097,0.2433,0.1847,0.1923,2017-12-11,56014296.1,11746197.89
0.173,0.2039,0.1599,0.1863,2017-12-10,22188055.06,3838533.53
0.183,0.2002,0.167,0.1692,2017-12-09,20149595.43,3687375.96
0.1829,0.2,0.1608,0.1621,2017-12-08,24743655.87,4525614.66
0.1702,0.2524,0.1693,0.2516,2017-12-07,32990084.68,5614912.41
0.2056,0.2651,0.2002,0.2629,2017-12-06,40047606.49,8233787.89
0.2226,0.2269,0.188,0.193,2017-12-05,40620351.21,9042090.18
0.1923,0.2089,0.1746,0.1756,2017-12-04,30886952.87,5939561.04
0.1712,0.1785,0.1672,0.1753,2017-12-03,17417915.58,2981947.15
0.1701,0.1791,0.1673,0.178,2017-12-02,14184487.31,2412781.29
0.1772,0.1804,0.1697,0.1733,2017-12-01,13327229.5,2361585.07
0.1588,0.1679,0.1477,0.1548,2017-11-30,15480598.35,2458319.02
0.1527,0.2035,0.1525,0.1939,2017-11-29,28677869.71,4379110.7
0.195,0.196,0.186,0.1904,2017-11-28,18412867.69,3590509.2
0.1871,0.1907,0.1794,0.1875,2017-11-27,17625112.86,3297658.62
0.1788,0.18,0.1702,0.1769,2017-11-26,18456998.05,3300111.25
0.1662,0.1713,0.1617,0.171,2017-11-25,18411427.06,3059979.18
0.1602,0.1626,0.1502,0.1612,2017-11-24,14903545.67,2387548.02
0.1575,0.1632,0.1532,0.1628,2017-11-23,14370964.37,2263426.89
0.1672,0.168,0.154,0.1569,2017-11-22,13860880.29,2317539.18
0.1543,0.1651,0.1498,0.1549,2017-11-21,12688460.22,1957829.41
0.1577,0.1677,0.1566,0.1635,2017-11-20,13256729.64,2090586.26
0.1597,0.1728,0.1556,0.1692,2017-11-19,10083411.95,1610320.89
0.1637,0.1681,0.1585,0.1643,2017-11-18,14053424.54,2300545.6
0.1617,0.1796,0.1519,0.1649,2017-11-17,25075807.34,4054758.05
0.1682,0.1875,0.1063,0.1554,2017-11-16,30847468.21,5188544.15
0.1441,0.1621,0.1398,0.161,2017-11-15,7719688.88,1112407.17
0.1458,0.1495,0.1375,0.1457,2017-11-14,7552593.05,1101168.07
0.144,0.1553,0.136,0.1397,2017-11-13,8653956.38,1246169.72
0.1261,0.1317,0.114,0.127,2017-11-12,8112477.51,1022983.41
0.1369,0.141,0.13,0.1341,2017-11-11,5622272.35,769689.08
0.1389,0.1504,0.1334,0.1482,2017-11-10,8096798.2,1124645.27
0.1609,0.1662,0.1426,0.1429,2017-11-09,8945143.29,1439273.56
0.1495,0.1635,0.1341,0.1479,2017-11-08,9869771.19,1475530.79
0.1411,0.1456,0.1392,0.1418,2017-11-07,4715172.93,665310.9
0.1376,0.1392,0.1286,0.1331,2017-11-06,4159448.22,572340.08
0.1414,0.1458,0.1367,0.1418,2017-11-05,3237293.7,457753.33
0.1413,0.1518,0.1373,0.1505,2017-11-04,4924169.18,695785.11
0.1463,0.1763,0.1272,0.1709,2017-11-03,17135454.3,2506916.96
0.1679,0.1756,0.1264,0.1449,2017-11-02,28117572.39,4720940.4
0.1389,0.1711,0.1374,0.1616,2017-11-01,11932357.46,1657404.45
0.1549,0.1775,0.1515,0.1539,2017-10-31,15640126.41,2422655.58
0.1461,0.1512,0.1417,0.1438,2017-10-30,3754191.71,548487.41
0.1443,0.1694,0.1432,0.1674,2017-10-29,8848094.86,1276780.09
0.1559,0.161,0.1394,0.1431,2017-10-28,8237298.74,1284194.87
0.1441,0.1462,0.1364,0.1441,2017-10-27,3797379.21,547202.34
0.1471,0.1626,0.1447,0.1563,2017-10-26,5936872.13,873313.89
0.1537,0.1653,0.1493,0.1627,2017-10-25,7869439.8,1209532.9
0.1577,0.1812,0.128,0.1297,2017-10-24,14454977.38,2279549.93
0.1389,0.1477,0.1336,0.1399,2017-10-23,4733470.36,657479.03
0.1418,0.1547,0.136,0.142,2017-10-22,3689445.58,523163.38
0.1427,0.1541,0.1301,0.1511,2017-10-21,9668303.2,1379666.87
0.1506,0.1747,0.1506,0.1613,2017-10-20,6050032.66,911134.92
0.1534,0.171,0.1482,0.1657,2017-10-19,6096929.07,935268.92
0.1621,0.1688,0.1589,0.165,2017-10-18,5143013.1,833682.42
0.1657,0.2044,0.1568,0.1722,2017-10-17,11206955.36,1856992.5
0.1772,0.1901,0.1437,0.1606,2017-10-16,16775163.03,2972558.89
0.1586,0.172,0.1541,0.172,2017-10-15,8892373.25,1410330.4
0.1761,0.1908,0.1696,0.1798,2017-10-14,5643354.8,993794.78
0.174,0.2032,0.1576,0.2001,2017-10-13,18171441.07,3161830.75
0.1929,0.2255,0.184,0.2171,2017-10-12,18320442.06,3534013.27
0.1928,0.2074,0.1896,0.1974,2017-10-11,9873397.03,1903590.95
0.1949,0.2024,0.1771,0.1889,2017-10-10,9932689.02,1935881.09
0.1895,0.2075,0.1589,0.1989,2017-10-09,12125649.64,2297810.61
0.192,0.2282,0.1847,0.2206,2017-10-08,12599241.72,2419054.41
0.2122,0.2363,0.2082,0.2362,2017-10-07,11481679.79,2436412.45
0.2328,0.2397,0.2281,0.2357,2017-10-06,7333305.6,1707193.54
0.233,0.2559,0.2268,0.248,2017-10-05,14349778.48,3343498.39
0.2421,0.2741,0.2413,0.2582,2017-10-04,17587423.36,4257915.2
0.264,0.2758,0.2485,0.2502,2017-10-03,17247628.04,4553373.8
0.2553,0.2593,0.2489,0.2571,2017-10-02,6190780.44,1580506.25
0.2572,0.2659,0.2471,0.2488,2017-10-01,6894501.48,1773265.78
0.2464,0.2595,0.2448,0.2472,2017-09-30,5911734.47,1456651.37
0.2366,0.2487,0.2275,0.2483,2017-09-29,9181394.1,2172317.84
0.2496,0.2597,0.2314,0.2336,2017-09-28,17680339.7,4413012.79
0.2345,0.2371,0.219,0.2312,2017-09-27,8258050.04,1936512.73
0.2136,0.217,0.2063,0.2126,2017-09-26,5889395.68,1257974.92
0.2148,0.2172,0.2077,0.212,2017-09-25,5030792.75,1080614.28
0.1977,0.2235,0.1966,0.2057,2017-09-24,5912140.67,1168830.21
0.2125,0.2179,0.2019,0.2058,2017-09-23,5607031.26,1191494.14
0.1957,0.2029,0.1872,0.201,2017-09-22,8104997.3,1586147.97
0.202,0.2116,0.1868,0.2083,2017-09-21,16478799.21,3328717.44
0.2235,0.2284,0.1981,0.2089,2017-09-20,10650903.58,2380476.95
0.2103,0.2332,0.2091,0.2317,2017-09-19,13123059.57,2759779.43
