Price,High,Low,Open,Date,Volumefrom,Volumeto
1851.56,1881.06,1681.82,1748.8,2018-01-18,61859.11,111913901.53
1748.8,1903.53,1342.05,1760.95,2018-01-17,168430.05,275433374.11
1761.61,2411.97,1525.13,2394.02,2018-01-16,211689.81,413640550.4
2394.05,2558.33,2352.1,2530.59,2018-01-15,50762.57,124413534.2
2530.21,2728.55,2441.03,2664.98,2018-01-14,44514.4,114182801.74
2664.9,2869.38,2561.7,2596.21,2018-01-13,68076.41,183442789.42
2596.2,2628.15,2372.67,2437.92,2018-01-12,58436.46,147982320.1
2437.92,2952.68,2341.77,2856.94,2018-01-11,144720.16,370363445.96
2856.93,2944.89,2291.94,2376.68,2018-01-10,164422.06,428980394.88
2376.68,2489.58,2319.19,2404.74,2018-01-09,49307.69,118646869.3
2404.74,2572.13,2207.35,2530.5,2018-01-08,71860.87,173810008.85
2530.44,2760.35,2492.92,2533.24,2018-01-07,77755.49,203905526.98
2533.24,2639.55,2326.08,2390.04,2018-01-06,76198.33,189153648.98
2390.04,2523.51,2306.49,2355.68,2018-01-05,78812.67,188339076.32
2355.78,2558.9,2315.7,2556.37,2018-01-04,69356.28,167327220.48
2557.52,2776.56,2517.54,2555.49,2018-01-03,65561.81,170977759.75
2555.49,2719.88,2314.12,2319.12,2018-01-02,85541.57,213749238.32
2319.12,2413.01,2258.29,2371.83,2018-01-01,34566.74,80872345.44
2371.83,2485.77,2165.12,2210.18,2017-12-31,55810.75,131177357.02
2209.96,2634.36,2103.91,2622.42,2017-12-30,95886.67,221420859.69
2619.32,2884.96,2311.24,2486.54,2017-12-29,107608.19,279681307.4
2484.96,2727.03,2291.94,2710.64,2017-12-28,79023.66,193654890.44
2710.64,2924.47,2568.85,2921.89,2017-12-27,58588.61,161281901.39
2921.84,2929.03,2720.99,2739.94,2017-12-26,64768.32,182771250.32
2739.94,2883.55,2600.42,2797.92,2017-12-25,67929.79,187864797.77
2797.92,2997.03,2463.15,2991.58,2017-12-24,164197.45,439830450.44
2991.57,3249.32,2466.89,2521.45,2017-12-23,189040.5,562467930.34
2521.46,3163.97,1716.84,3084.09,2017-12-22,397962.38,959174529.93
3084.09,3717.55,2857.3,3715.91,2017-12-21,242943.03,787854447.7
3715.91,4112.39,2665.55,2670.97,2017-12-20,545546.68,1915071070.77
2670.97,2827.39,2075.48,2146.46,2017-12-19,272005.86,651099368.75
2146.79,2311.36,1750.39,1827.41,2017-12-18,203611.05,418792732.06
1827.41,1904.01,1773.1,1773.75,2017-12-17,60356.9,110593944.27
1773.75,1864.87,1733.98,1797.03,2017-12-16,62028.65,110491376.74
1795.31,1939.79,1630.62,1933.27,2017-12-15,109849.42,191047439.84
1933.27,2053.26,1561.3,1572.91,2017-12-14,220803.74,409667501.78
1572.91,1664.79,1444.1,1544.92,2017-12-13,125131.91,194831180.86
1543.45,1601.28,1330.78,1402.35,2017-12-12,108785.79,162733015.51
1402.18,1429.02,1288.39,1289.42,2017-12-11,70404.27,96857495.59
1289.78,1369.53,1186.48,1369.53,2017-12-10,80859.32,103219889.01
1369.36,1466.48,1305.28,1383.33,2017-12-09,83939.26,116894421.1
1383.3,1560.71,1137.42,1229.9,2017-12-08,203852.98,281476871.56
1230.0,1363.09,1217.38,1349.74,2017-12-07,123812.84,156825923.82
1349.75,1461.22,1309.53,1421.41,2017-12-06,92022.37,129572220.35
1421.42,1581.8,1410.56,1540.64,2017-12-05,76294.69,113943413.18
