Price,High,Low,Open,Date,Volumefrom,Volumeto
0.565,0.583,0.5253,0.5545,2018-01-11,28492318.12,16180787.46
0.6169,0.6926,0.5768,0.6921,2018-01-10,55691551.52,34356118.13
0.6715,0.7334,0.6559,0.724,2018-01-09,28843127.44,19368160.08
0.7494,0.771,0.6579,0.7476,2018-01-08,24207115.64,18140812.46
0.8101,0.8343,0.7632,0.777,2018-01-07,25943561.09,21016878.84
0.8231,0.9282,0.7496,0.7774,2018-01-06,38308073.76,31531375.51
0.765,0.9586,0.7102,0.92,2018-01-05,45583521.23,34871393.74
0.8244,0.927,0.768,0.8844,2018-01-04,36711199.56,30264712.92
0.8833,0.9049,0.749,0.7837,2018-01-03,46619766.12,41179239.41
0.7632,0.9876,0.6631,0.8196,2018-01-02,82990557.47,63338393.46
0.7462,0.7497,0.6197,0.6206,2018-01-01,42552980.29,31753033.89
0.6393,0.6723,0.6126,0.6712,2017-12-31,23753612.92,15185684.74
0.6082,0.6192,0.4853,0.4892,2017-12-30,62920473.21,38268231.81
0.5597,0.6079,0.4822,0.4971,2017-12-29,46859652.48,26227347.49
0.4969,0.5283,0.4583,0.5124,2017-12-28,28752481.31,14287107.96
0.5485,0.5846,0.5174,0.5604,2017-12-27,24916881.66,13666909.59
0.5668,0.6938,0.5077,0.6731,2017-12-26,50979472.19,28895164.84
0.5908,0.647,0.5374,0.5401,2017-12-25,54122795.82,31975747.77
0.5379,0.5443,0.4884,0.5257,2017-12-24,34638775.14,18632197.15
0.5488,0.6057,0.4879,0.4967,2017-12-23,49031827.46,26908666.91
0.4721,0.5264,0.4117,0.501,2017-12-22,52770258.18,24912838.89
0.5728,0.6253,0.5326,0.5948,2017-12-21,70959466.46,40645582.39
0.627,0.6618,0.4106,0.4343,2017-12-20,111121020.21,69672879.67
0.4661,0.474,0.3853,0.4032,2017-12-19,76030257.12,35437702.84
0.4366,0.4589,0.3643,0.3656,2017-12-18,59889198.15,26147623.91
0.3703,0.4547,0.3645,0.44,2017-12-17,66270621.71,24540011.22
0.4461,0.4823,0.3784,0.3917,2017-12-16,118867842.83,53026944.69
0.3565,0.4077,0.257,0.3426,2017-12-15,154460012.07,55064994.3
0.3205,0.3206,0.2304,0.2347,2017-12-14,71972289.56,23067118.8
0.2309,0.244,0.1907,0.2036,2017-12-13,32104082.17,7412832.57
0.2135,0.2144,0.1751,0.1821,2017-12-12,24943956.31,5325534.67
0.1774,0.1864,0.1665,0.1792,2017-12-11,15155508.4,2688587.19
0.1613,0.1867,0.1489,0.1782,2017-12-10,17726204.22,2859236.74
0.1752,0.1925,0.1657,0.1688,2017-12-09,20412003.83,3576183.07
0.1813,0.1959,0.1364,0.1569,2017-12-08,49986301.07,9062516.38
0.1651,0.2199,0.1449,0.2047,2017-12-07,71023811.55,11726031.29
0.1671,0.2269,0.132,0.1992,2017-12-06,69587590.82,11628086.43
0.1691,0.182,0.1632,0.1771,2017-12-05,25030611.63,4232676.43
0.1773,0.1895,0.1431,0.1502,2017-12-04,49296564.66,8740280.91
0.1456,0.1491,0.1307,0.1372,2017-12-03,20579082.01,2996314.34
0.1331,0.1506,0.1311,0.146,2017-12-02,15473831.46,2059566.97
0.1453,0.161,0.1429,0.1445,2017-12-01,17004082.07,2470693.12
0.1321,0.1441,0.1255,0.1385,2017-11-30,22682300.02,2996331.83
0.1369,0.1755,0.1335,0.1705,2017-11-29,37929023.4,5192483.3
0.1729,0.1729,0.1481,0.1535,2017-11-28,37747083.83,6526470.79
0.1509,0.1521,0.1368,0.1443,2017-11-27,18710116.66,2823356.6
0.1381,0.1445,0.1351,0.1409,2017-11-26,19306885.57,2666280.9
0.132,0.1398,0.1186,0.1206,2017-11-25,39631846.61,5231403.75
0.113,0.1231,0.1116,0.1216,2017-11-24,14531290.45,1642035.82
0.1196,0.1251,0.115,0.1154,2017-11-23,26229735.45,3137076.36
0.1193,0.1214,0.1089,0.1161,2017-11-22,33025459.81,3939937.36
0.114,0.1213,0.08505,0.1007,2017-11-21,85578333.42,9755930.01
0.1025,0.1113,0.09284,0.09622,2017-11-20,41550932.36,4258970.57
0.0937,0.09965,0.08976,0.09563,2017-11-19,17473128.09,1637232.1
0.0922,0.1004,0.08862,0.0894,2017-11-18,19225580.33,1772598.51
0.08855,0.09625,0.07323,0.08039,2017-11-17,30613172.08,2710796.39
0.08191,0.0977,0.07736,0.09542,2017-11-16,30833062.16,2525536.12
0.08886,0.09352,0.08558,0.0925,2017-11-15,20884300.5,1855778.94
0.08378,0.08537,0.07982,0.08253,2017-11-14,14081530.4,1179750.62
