Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-01-04,15540.79,15887.72,15090.31,15611.11,3.82360787,59324.896527104,15515.423794518
2018-01-03,15277.1,15878.39,15138.86,15585.65,4.00087944,62769.600225675,15688.950683722
2018-01-02,14186.81,15654.71,13870.67,15225.11,4.87233809,71563.285235432,14687.668202317
2018-01-01,14483.06,14696.31,13795.77,14171.22,1.36849804,19496.388633034,14246.559412708
2017-12-31,13420.05,14878.79,13106.57,14509.45,1.74299993,24438.184814473,14020.760640233
2017-12-30,15236.72,15291.26,13336.92,13559.79,2.88799171,41230.694746982,14276.597333786
2017-12-29,15208.4,15505.2,14841.62,15291.26,2.18020578,33252.180654479,15251.854187121
2017-12-28,15944.91,16050.97,14800.0,15065.36,16.05638643,246564.09755889,15356.138732324
2017-12-27,16006.72,16853.61,15315.83,15916.59,11.6564775,188891.27078893,16204.832959951
2017-12-26,14564.32,16412.51,14346.67,16146.7,2.95510736,45611.085338545,15434.662698192
2017-12-25,14699.96,15174.11,14235.73,14478.53,2.67505238,39293.332341925,14688.808576498
2017-12-24,15433.46,15724.67,13680.95,14556.49,5.89814953,87295.320034984,14800.458955978
2017-12-23,14870.33,17267.36,14502.0,15420.05,8.60055633,135781.30651069,15787.502726663
2017-12-22,16272.77,16452.2,11885.72,14912.01,51.12249344,720110.12369801,14085.974201223
2017-12-21,17216.3,17589.08,15668.34,16266.28,14.84798892,252878.04077089,17031.130756723
2017-12-20,18369.99,18525.28,16296.28,17074.09,26.30801838,467146.27267313,17756.801972902
2017-12-19,18861.8,19103.45,17395.23,18344.62,10.26483813,188995.23226572,18411.905757516
2017-12-18,18453.91,18934.65,17737.26,18872.58,12.01088546,224103.80082634,18658.391304511
2017-12-17,18971.72,19248.71,18265.08,18413.29,3.20581764,60735.458394061,18945.387796313
2017-12-16,17437.65,19183.02,17157.49,19053.19,3.8898556,69741.378270708,17929.040417518
2017-12-15,16350.47,17820.0,16302.36,17461.4,11.92664693,209162.67551953,17537.424956666
2017-12-14,16440.76,17026.46,16121.92,16335.79,5.99963831,98760.791991525,16461.124302596
2017-12-13,16922.36,17327.71,16000.0,16450.47,12.55752966,212211.81147875,16899.16864419
2017-12-12,16327.62,17182.11,15990.06,16854.3,7.96371957,133473.52531054,16760.199067449
2017-12-11,15060.27,16834.88,15060.27,16308.92,13.52460401,220056.72240496,16270.844029315
2017-12-10,14838.9,15390.0,12970.73,14966.18,6.69206201,97925.807293152,14633.129093368
2017-12-09,15824.74,16002.77,13100.0,14809.73,15.05851685,213565.43594283,14182.368560608
2017-12-08,16663.38,16901.62,13837.56,15743.16,38.55545138,586324.10817686,15207.294615698
2017-12-07,13741.58,16803.94,13079.69,16680.1,36.53514975,574902.81318986,15735.608506432
2017-12-06,11697.73,14205.05,11678.08,13783.37,19.27950703,250393.21112328,12987.531825044
2017-12-05,11371.38,11762.97,11210.11,11687.04,3.05750093,35575.0183365,11635.3254344
2017-12-04,11051.54,11369.48,10985.22,11337.85,7.01291994,78566.4419549,11203.0997968
2017-12-03,10787.28,11385.29,10458.6,11043.8,7.34755026,81766.7026996,11128.4305389
2017-12-02,10714.85,11050.54,10605.93,10768.67,2.70654693,29312.1909489,10830.1062967
2017-12-01,9890.88,10873.35,9549.99,10724.36,6.27712623,63455.1144796,10108.9435124
2017-11-30,9726.05,10525.0,9028.53,9921.62,6.91902805,67441.4219923,9747.23928057
2017-11-29,9884.72,11061.22,8850.05,9532.63,11.81850152,122304.374084,10348.5517074
2017-11-28,9704.54,9984.23,9640.29,9862.59,2.31185785,22724.3994524,9829.4968492
2017-11-27,9251.38,9713.31,9251.38,9713.31,10.84412423,104064.847752,9596.42711062
2017-11-26,8712.97,9435.79,8704.82,9207.99,7.83979989,70876.6461348,9040.61929249
2017-11-25,8230.79,8706.6,8210.63,8706.6,2.88902225,24530.4932206,8490.93260553
2017-11-24,8043.4,8317.4,7951.51,8239.31,2.56274537,20860.3594514,8139.84865434
2017-11-23,8252.58,8281.61,8053.52,8054.45,5.30214713,43494.7479814,8203.23293846
2017-11-22,8141.0,8355.08,8141.0,8260.71,4.83130845,39857.1804934,8249.76937529
2017-11-21,8230.32,8414.87,7898.14,8132.54,3.72845405,30594.4717824,8205.67220948
2017-11-20,8017.22,8265.07,7945.52,8225.41,8.52007839,69098.8253976,8110.11615559
2017-11-19,7817.21,8019.56,7727.59,8012.64,8.07006345,63040.6877142,7811.67187901
2017-11-18,7672.06,7879.1,7471.31,7833.45,7.09798485,54135.9034813,7626.93984635
2017-11-17,7863.52,7943.33,7550.15,7738.42,2.34856388,18361.5543102,7818.20518768
2017-11-16,7282.0,7925.31,7157.97,7814.49,9.33486279,70715.2629721,7575.39393593
2017-11-15,6792.68,7364.15,6792.68,7280.2,18.40924282,131441.706769,7139.98441187
2017-11-14,6623.25,6771.39,6397.69,6714.17,14.26429278,95339.93465,6683.81784646
2017-11-13,5846.07,6797.51,5846.07,6527.2,3.19811355,20581.862896,6435.62605712
2017-11-12,6339.11,6473.8,5595.77,5852.81,41.60654771,254341.099872,6113.0065788
2017-11-11,6617.14,6877.7,6218.1,6368.32,29.37811673,191779.503871,6527.97133438
2017-11-10,7190.62,7319.69,6444.06,6622.42,30.10416941,205052.504922,6811.43206873
2017-11-09,7435.58,7435.58,7113.01,7154.71,9.48124868,68460.7718638,7220.64932314
2017-11-08,7162.09,7751.64,7139.36,7447.27,24.29701484,181019.355977,7450.27144975
2017-11-07,7020.65,7272.43,7020.65,7167.19,21.95337438,156803.634998,7142.57554594
2017-11-06,7408.14,7441.25,6995.33,7025.14,5.09221286,36984.2266089,7262.89878796
2017-11-05,7376.53,7601.17,7307.19,7400.39,7.3286308,54811.3661132,7479.07318694
2017-11-04,7181.92,7457.87,6972.84,7369.08,10.02279818,72853.3507201,7268.76361389
2017-11-03,7072.06,7407.69,6970.3,7199.62,9.28666777,67159.3117559,7231.7986838
2017-11-02,6749.21,7461.58,6738.06,7069.03,23.69024796,165882.628216,7002.14824666
2017-11-01,6630.39,6694.38,6552.6,6694.38,4.086917,27107.9286407,6632.85519151
2017-10-31,6136.76,6412.85,6113.03,6411.84,14.240783,90650.9152584,6365.58504251
2017-10-30,6075.8,6144.29,6062.63,6115.15,0.08934,545.5970204,6106.97358854
2017-10-29,5752.96,6186.48,5633.46,6158.76,12.56366837,73800.0886201,5874.08760297
2017-10-28,5798.32,5874.33,5709.22,5762.9,9.81624762,56695.0619087,5775.63485595
2017-10-27,5895.01,5937.37,5737.95,5793.98,4.21730582,24651.052815,5845.21347684
2017-10-26,5766.98,6003.92,5742.13,5899.85,4.207354,24611.7054018,5849.68733362
