"Date","Price","Open","High","Low","Change %"
"Jan 05, 2018","16,758.0","15,159.0","16,795.0","14,769.0","10.54"
"Jan 04, 2018","15,160.0","15,150.0","15,390.0","14,064.0","0.03"
"Jan 03, 2018","15,155.0","14,713.0","15,428.0","14,522.0","3.03"
"Jan 02, 2018","14,709.8","13,448.0","15,300.0","12,810.0","10.15"
"Jan 01, 2018","13,354.0","13,794.0","13,893.0","12,787.0","-3.23"
"Dec 31, 2017","13,800.0","12,385.0","14,140.0","12,183.9","11.5"
"Dec 30, 2017","12,377.0","14,308.0","14,403.0","11,690.0","-13.55"
"Dec 29, 2017","14,317.0","14,323.0","15,105.0","13,847.0","0.01"
"Dec 28, 2017","14,315.0","15,374.0","15,467.0","13,232.0","-6.89"
"Dec 27, 2017","15,374.0","15,680.0","16,494.0","14,463.0","-1.95"
"Dec 26, 2017","15,679.0","13,627.0","16,048.0","13,550.0","15.09"
"Dec 25, 2017","13,623.0","13,517.0","14,278.0","12,678.0","1.09"
"Dec 24, 2017","13,476.0","14,036.0","14,047.0","11,601.2","-3.98"
"Dec 23, 2017","14,035.0","13,173.0","14,986.0","12,755.0","6.57"
"Dec 22, 2017","13,170.0","15,650.0","15,826.0","10,718.0","-15.94"
"Dec 21, 2017","15,666.8","16,433.0","17,333.0","14,827.0","-4.62"
"Dec 20, 2017","16,425.0","17,340.0","17,709.0","15,500.0","-5.3"
"Dec 19, 2017","17,345.0","18,931.0","18,987.0","16,500.0","-8.39"
"Dec 18, 2017","18,934.0","18,959.0","19,171.0","18,010.0","-0.2"
"Dec 17, 2017","18,971.0","19,210.0","19,891.0","18,622.0","-1.13"
"Dec 16, 2017","19,187.0","17,569.5","19,548.0","17,098.0","9.5"
"Dec 15, 2017","17,522.0","16,396.0","18,098.0","16,352.0","6.95"
"Dec 14, 2017","16,383.0","16,122.0","16,999.0","15,870.0","1.25"
"Dec 13, 2017","16,181.0","17,010.0","17,288.0","15,674.0","-4.63"
"Dec 12, 2017","16,967.0","16,754.0","17,500.0","16,234.0","1.27"
"Dec 11, 2017","16,754.0","14,937.0","17,443.0","14,937.0","11.72"
"Dec 10, 2017","14,997.0","14,660.0","15,728.0","12,748.0","2.3"
"Dec 09, 2017","14,660.0","15,829.0","16,300.0","13,021.0","-7.62"
"Dec 08, 2017","15,869.0","16,608.0","17,160.0","13,774.0","-4.41"
"Dec 07, 2017","16,601.0","13,500.0","16,639.0","13,154.0","22.72"
"Dec 06, 2017","13,527.0","11,590.0","13,598.0","11,590.0","16.66"
"Dec 05, 2017","11,595.0","11,611.0","11,949.0","11,414.0","0"
"Dec 04, 2017","11,595.0","11,162.0","11,598.0","10,788.0","3.93"
"Dec 03, 2017","11,157.0","10,880.0","11,842.0","10,299.0","2.54"
"Dec 02, 2017","10,881.0","10,852.0","11,187.0","10,627.0","0.11"
"Dec 01, 2017","10,869.0","9,907.0","10,949.0","9,370.1","9.71"
"Nov 30, 2017","9,907.0","9,771.9","10,540.0","8,821.0","1.62"
"Nov 29, 2017","9,749.4","9,891.9","11,427.2","9,001.1","-1.5"
"Nov 28, 2017","9,898.0","9,727.1","9,977.8","9,608.3","1.74"
"Nov 27, 2017","9,728.8","9,303.9","9,760.7","9,268.9","4.43"
"Nov 26, 2017","9,316.0","8,791.0","9,495.0","8,769.2","6.27"
"Nov 25, 2017","8,766.2","8,191.6","8,770.0","8,132.9","7.01"
"Nov 24, 2017","8,191.6","7,977.0","8,350.7","7,873.0","2.69"
"Nov 23, 2017","7,977.1","8,230.0","8,267.6","7,977.1","-3.07"
"Nov 22, 2017","8,230.1","8,097.3","8,310.0","8,064.3","1.64"
"Nov 21, 2017","8,097.3","8,245.1","8,380.0","7,790.0","-1.79"
"Nov 20, 2017","8,245.1","8,052.8","8,310.2","7,943.4","2.37"
"Nov 19, 2017","8,054.2","7,770.6","8,126.9","7,652.0","3.61"
"Nov 18, 2017","7,773.3","7,674.1","7,867.0","7,419.5","1.24"
"Nov 17, 2017","7,677.9","7,865.0","8,029.8","7,511.1","-2.37"
"Nov 16, 2017","7,864.2","7,273.7","8,012.9","7,099.9","8.05"
"Nov 15, 2017","7,278.3","6,589.9","7,310.2","6,589.9","10.63"
"Nov 14, 2017","6,579.2","6,476.5","6,687.8","6,315.4","1.62"
"Nov 13, 2017","6,474.6","5,806.5","6,680.0","5,786.1","11.21"
"Nov 12, 2017","5,822.1","6,282.4","6,465.0","5,426.0","-7.6"
"Nov 11, 2017","6,300.7","6,541.2","6,788.0","6,166.0","-3.69"
"Nov 10, 2017","6,542.2","7,123.3","7,313.1","6,405.2","-8.2"
"Nov 09, 2017","7,126.2","7,447.0","7,447.0","7,017.6","-4.25"
"Nov 08, 2017","7,442.4","7,102.0","7,895.0","7,029.9","4.77"
"Nov 07, 2017","7,103.3","6,959.6","7,214.4","6,959.0","2.13"
"Nov 06, 2017","6,955.0","7,355.1","7,429.5","6,915.1","-5.78"
"Nov 05, 2017","7,382.0","7,370.9","7,595.0","7,272.0","0.18"
"Nov 04, 2017","7,369.0","7,104.0","7,521.1","6,936.5","1.24"
"Nov 03, 2017","7,278.4","7,018.9","7,447.5","6,926.5","3.68"
"Nov 02, 2017","7,019.9","6,735.0","7,315.1","6,724.5","4.35"
"Nov 01, 2017","6,727.3","6,450.2","6,727.3","6,348.0","4.17"
"Oct 31, 2017","6,458.3","6,129.9","6,472.1","6,082.7","5.44"
"Oct 30, 2017","6,125.3","6,146.0","6,237.2","6,010.0","-0.5"
"Oct 29, 2017","6,156.0","5,718.1","6,330.0","5,662.9","7.61"
"Oct 28, 2017","5,720.6","5,759.8","5,863.9","5,634.7","-0.68"
"Oct 27, 2017","5,759.6","5,890.0","6,010.2","5,681.2","-2.21"
"Oct 26, 2017","5,890.0","5,724.2","5,966.6","5,680.5","2.97"
"Oct 25, 2017","5,720.0","5,509.9","5,743.9","5,367.9","3.82"
"Oct 24, 2017","5,509.5","5,902.5","5,902.5","5,457.5","-6.73"
"Oct 23, 2017","5,906.9","5,980.5","6,051.0","5,639.8","-1.23"
"Oct 22, 2017","5,980.5","6,005.1","6,069.6","5,717.9","-0.41"
"Oct 21, 2017","6,005.1","5,984.9","6,190.0","5,873.6","0.34"
"Oct 20, 2017","5,984.5","5,694.0","6,082.2","5,606.4","5.1"
"Oct 19, 2017","5,694.0","5,574.8","5,741.0","5,505.8","2.32"
"Oct 18, 2017","5,565.0","5,597.7","5,597.9","5,114.3","-0.57"
"Oct 17, 2017","5,597.1","5,764.8","5,779.0","5,511.0","-2.9"
"Oct 16, 2017","5,764.4","5,712.2","5,803.2","5,570.4","1.15"
"Oct 15, 2017","5,698.6","5,838.7","5,876.9","5,450.0","-2.34"
"Oct 14, 2017","5,835.0","5,636.8","5,854.3","5,567.3","3.52"
"Oct 13, 2017","5,636.8","5,440.0","5,874.3","5,376.0","3.84"
"Oct 12, 2017","5,428.5","4,824.9","5,437.6","4,815.1","12.51"
"Oct 11, 2017","4,824.9","4,777.7","4,879.5","4,715.0","1"
"Oct 10, 2017","4,777.0","4,782.3","4,940.0","4,717.5","-0.11"
"Oct 09, 2017","4,782.3","4,612.4","4,874.9","4,551.3","3.67"
"Oct 08, 2017","4,613.1","4,435.9","4,630.0","4,417.6","3.99"
"Oct 07, 2017","4,436.0","4,370.0","4,477.1","4,316.1","1.49"
"Oct 06, 2017","4,371.0","4,312.6","4,424.5","4,294.0","1.29"
"Oct 05, 2017","4,315.4","4,215.9","4,364.6","4,134.9","2.38"
"Oct 04, 2017","4,215.1","4,310.6","4,353.8","4,177.7","-2.23"
"Oct 03, 2017","4,311.1","4,399.3","4,439.9","4,222.0","-2.02"
"Oct 02, 2017","4,400.1","4,404.3","4,482.0","4,359.8","-0.1"
"Oct 01, 2017","4,404.3","4,366.6","4,420.5","4,257.7","0.85"
"Sep 30, 2017","4,367.0","4,168.1","4,393.4","4,160.1","4.73"
"Sep 29, 2017","4,169.9","4,190.0","4,244.6","4,024.7","-0.48"
"Sep 28, 2017","4,190.0","4,207.5","4,268.6","4,125.0","-0.37"
"Sep 27, 2017","4,205.4","3,881.6","4,226.5","3,878.1","8.41"
"Sep 26, 2017","3,879.1","3,930.0","3,983.0","3,850.9","-1.3"
"Sep 25, 2017","3,930.0","3,654.7","3,977.0","3,654.7","7.59"
"Sep 24, 2017","3,652.8","3,779.6","3,781.3","3,620.0","-3.35"
"Sep 23, 2017","3,779.6","3,598.7","3,808.0","3,559.1","5.03"
"Sep 22, 2017","3,598.5","3,597.3","3,743.6","3,493.5","-0.14"
"Sep 21, 2017","3,603.4","3,875.5","3,903.7","3,564.4","-6.97"
"Sep 20, 2017","3,873.2","3,892.2","4,048.0","3,834.1","-0.69"
"Sep 19, 2017","3,900.0","4,084.4","4,110.0","3,836.2","-4.51"
