Price,High,Low,Open,Date,Volumefrom,Volumeto
1011.65,1108.02,959.56,1098.33,2018-01-11,27758.69,28592659.84
1098.33,1111.83,1025.79,1106.41,2018-01-10,28173.48,30177194.67
1107.16,1133.2,1040.15,1080.36,2018-01-09,25192.92,27723670.77
1080.36,1186.81,979.59,1161.96,2018-01-08,31635.44,34846463.72
1161.98,1250.05,1155.53,1160.35,2018-01-07,32123.68,38563763.51
1160.35,1184.64,1062.92,1080.88,2018-01-06,25288.75,28798395.75
1080.88,1160.73,1067.54,1120.12,2018-01-05,29086.78,32571046.91
1120.12,1200.17,1036.82,1130.1,2018-01-04,30174.53,33869240.3
1129.89,1167.5,1088.34,1162.47,2018-01-03,23769.32,26726159.87
1162.47,1194.94,1019.57,1019.63,2018-01-02,32982.09,36573606.39
1019.42,1039.1,969.44,1013.89,2018-01-01,14616.75,14727224.15
1013.89,1054.13,924.33,943.1,2017-12-31,19125.73,18988339.51
943.14,1095.32,875.9,1089.16,2017-12-30,32783.59,31635527.04
1089.31,1144.02,1023.52,1103.06,2017-12-29,23556.71,25796086.74
1103.06,1138.81,992.24,1133.5,2017-12-28,24238.95,25310848.28
1133.36,1210.54,1103.32,1181.28,2017-12-27,23144.48,26954078.18
1180.57,1181.21,1106.62,1109.1,2017-12-26,19330.15,22241937.99
1109.1,1177.18,1064.57,1096.43,2017-12-25,17775.66,19861393.43
1096.43,1162.05,960.39,1160.85,2017-12-24,30856.34,32779710.59
1160.85,1257.7,1076.4,1099.65,2017-12-23,43864.36,51515930.24
1099.65,1363.01,814.6,1339.73,2017-12-22,104212.55,110482649.89
1339.73,1517.13,1276.0,1433.41,2017-12-21,55579.25,77904265.94
1433.41,1547.23,997.3,1136.12,2017-12-20,92309.98,124872143.96
1136.12,1219.99,1073.66,1142.41,2017-12-19,47301.94,54802117.51
1142.44,1185.49,1016.74,1084.59,2017-12-18,40120.77,43693886.43
1084.54,1151.3,986.88,987.56,2017-12-17,70056.76,75051038.44
