Price,High,Low,Open,Date,Volumefrom,Volumeto
2.17,2.66,2.07,2.12,2018-01-18,161345.1,346891.97
2.05,2.18,1.73,1.74,2018-01-17,173586.18,355851.67
1.76,2.27,1.71,2.23,2018-01-16,151785.51,267142.5
2.7,2.85,2.63,2.85,2018-01-15,83163.77,224542.18
2.86,3.14,2.72,3.13,2018-01-14,153593.46,439277.3
3.24,4.07,2.94,2.94,2018-01-13,1127301.27,3652456.11
2.85,3.05,2.51,2.63,2018-01-12,302263.46,861450.86
2.53,2.94,2.2,2.69,2018-01-11,175839.1,444872.92
3.02,3.39,2.91,3.28,2018-01-10,176928.27,534323.38
3.14,3.4,2.9,3.11,2018-01-09,213352.16,669925.78
3.22,3.59,2.89,3.19,2018-01-08,301671.6,971382.55
3.38,3.48,3.14,3.22,2018-01-07,135894.87,459324.66
3.41,4.04,2.66,2.87,2018-01-06,364457.32,1242799.46
2.75,4.1,2.63,3.39,2018-01-05,479723.28,1319239.02
3.04,3.34,2.75,2.95,2018-01-04,276126.78,839425.41
2.94,3.2,2.58,2.93,2018-01-03,319656.7,939790.7
2.85,3.39,2.82,2.97,2018-01-02,303327.05,864482.09
2.71,2.89,2.55,2.69,2018-01-01,212041.24,574631.76
2.71,3.19,2.65,2.85,2017-12-31,204013.86,552877.56
2.58,3.09,2.41,2.64,2017-12-30,372601.78,961312.59
3.03,3.73,2.94,3.17,2017-12-29,438397.43,1328344.21
3.17,3.25,2.52,3.19,2017-12-28,208740.61,661707.73
3.42,3.62,3.0,3.2,2017-12-27,316340.16,1081883.35
3.27,4.4,2.88,4.06,2017-12-26,661119.45,2161860.6
3.56,4.98,2.5,2.63,2017-12-25,3864377.22,13757182.9
2.67,3.43,2.0,2.11,2017-12-24,1533633.38,4094801.12
2.17,2.71,1.81,1.87,2017-12-23,1052091.81,2283039.23
1.78,2.13,1.67,2.06,2017-12-22,254612.43,453210.13
2.36,3.28,2.08,2.12,2017-12-21,898217.27,2119792.76
2.24,2.43,2.03,2.39,2017-12-20,385379.42,863249.9
2.54,4.23,1.86,1.95,2017-12-19,2005048.24,5092822.53
2.11,2.16,1.75,1.82,2017-12-18,355439.95,749978.29
1.83,1.87,1.7,1.79,2017-12-17,163904.4,299945.05
1.81,2.03,1.75,1.79,2017-12-16,274290.19,496465.24
1.63,1.77,1.52,1.75,2017-12-15,168746.97,275057.56
1.64,1.88,1.57,1.6,2017-12-14,382686.33,627605.58
1.58,1.81,1.45,1.49,2017-12-13,285845.92,451636.55
1.56,2.07,1.39,1.54,2017-12-12,564731.48,880981.11
1.5,1.67,1.47,1.67,2017-12-11,267862.51,401793.77
1.5,1.87,1.27,1.3,2017-12-10,887493.84,1331240.76
1.28,1.47,1.17,1.26,2017-12-09,176551.11,225985.42
1.36,1.53,1.12,1.22,2017-12-08,285030.51,387641.49
1.28,2.09,1.19,2.04,2017-12-07,243476.61,311650.06
1.67,2.71,1.66,1.93,2017-12-06,1302473.71,2175131.1
1.64,1.69,1.47,1.56,2017-12-05,246863.13,404855.53
1.56,1.72,1.4,1.42,2017-12-04,327802.58,511372.02
1.42,1.51,1.38,1.46,2017-12-03,120781.37,171509.55
1.42,1.53,1.3,1.52,2017-12-02,418007.27,593570.32
1.5,2.17,1.3,1.33,2017-12-01,1890918.85,2836378.28
1.22,1.33,1.04,1.04,2017-11-30,148156.51,180750.94
1.07,1.38,1.07,1.36,2017-11-29,215276.36,230345.71
1.37,1.51,1.21,1.47,2017-11-28,737095.51,1009820.85
1.44,2.64,1.13,1.14,2017-11-27,5200793.28,7489142.32
1.09,1.2,1.07,1.15,2017-11-26,106926.19,116549.55
1.08,1.14,1.06,1.11,2017-11-25,119254.92,128795.31
1.04,1.36,0.9513,1.04,2017-11-24,346879.89,360755.09
1.02,1.07,0.9624,1.02,2017-11-23,61413.37,62641.64
1.05,1.18,0.9799,0.9923,2017-11-22,132468.49,139091.91
0.976,1.08,0.9031,1.05,2017-11-21,104289.64,101786.69
1.07,1.19,1.01,1.18,2017-11-20,72226.54,77282.4
1.15,1.26,1.13,1.19,2017-11-19,52807.12,60728.19
1.15,1.48,1.11,1.14,2017-11-18,313891.22,360974.9
1.13,1.18,1.09,1.17,2017-11-17,12248.8,13841.14
1.2,1.35,1.18,1.26,2017-11-16,49718.63,59662.36
1.17,1.26,1.17,1.26,2017-11-15,23414.06,27394.45
1.14,1.17,1.09,1.17,2017-11-14,31067.68,35417.16
1.16,1.16,1.08,1.09,2017-11-13,68352.54,79288.95
0.9822,1.38,0.9011,1.03,2017-11-12,253543.96,249030.88
1.11,1.18,1.1,1.15,2017-11-11,24679.81,27394.59
1.19,1.25,1.15,1.25,2017-11-10,27947.28,33257.26
1.35,1.35,1.23,1.24,2017-11-09,56720.43,76572.58
1.29,1.4,1.2,1.31,2017-11-08,42626.24,54987.85
1.25,1.25,1.19,1.24,2017-11-07,20672.34,25840.43
1.21,1.39,1.11,1.18,2017-11-06,106298.7,128621.43
1.25,1.28,1.17,1.28,2017-11-05,19932.21,24915.26
1.27,1.33,1.24,1.29,2017-11-04,11398.32,14475.87
1.25,1.38,1.16,1.16,2017-11-03,48616.46,60770.58
1.14,1.55,1.14,1.23,2017-11-02,93771.79,106899.84
1.18,1.58,1.18,1.35,2017-11-01,84062.2,99193.4
1.29,1.43,1.2,1.35,2017-10-31,74274.91,95814.63
1.29,1.43,1.23,1.23,2017-10-30,41385.19,53386.9
1.24,1.63,1.23,1.27,2017-10-29,140610.21,174356.66
1.18,1.28,1.06,1.23,2017-10-28,19274.84,22744.31
1.24,1.34,1.2,1.22,2017-10-27,8122.0,10071.28
1.24,1.45,1.2,1.36,2017-10-26,39352.61,48797.24
1.28,1.37,1.21,1.31,2017-10-25,39502.03,50562.6
1.26,1.27,0.9786,1.01,2017-10-24,57812.96,72844.33
1.08,1.3,1.06,1.3,2017-10-23,52228.07,56406.32
1.31,1.44,1.09,1.16,2017-10-22,40334.89,52838.71
1.17,1.24,1.06,1.22,2017-10-21,30984.35,36251.69
1.22,1.35,1.14,1.34,2017-10-20,65755.01,80221.11
1.28,1.47,1.2,1.45,2017-10-19,98010.83,125453.86
1.41,2.02,1.28,1.88,2017-10-18,165844.59,233840.87
1.89,2.42,1.15,1.22,2017-10-17,435584.77,823255.22
1.21,1.4,1.04,1.18,2017-10-16,29854.79,36124.3
1.17,1.22,0.967,1.04,2017-10-15,7510.39,8787.16
1.06,1.11,0.9984,1.02,2017-10-14,24952.4,26449.54
0.9854,1.11,0.9566,1.1,2017-10-13,36763.7,36226.95
1.06,1.79,1.04,1.38,2017-10-12,246626.99,261424.61
1.23,1.68,0.8245,0.8409,2017-10-11,257872.77,317183.51
0.8303,0.9813,0.7621,0.9813,2017-10-10,44111.46,36625.75
0.9842,1.13,0.9459,1.07,2017-10-09,40394.92,39756.68
1.04,1.23,1.04,1.2,2017-10-08,16731.66,17400.93
1.15,1.23,1.15,1.22,2017-10-07,6822.56,7845.94
1.21,1.33,1.21,1.21,2017-10-06,24681.53,29864.65
1.19,1.23,1.19,1.22,2017-10-05,10191.7,12128.12
1.19,1.28,1.18,1.22,2017-10-04,8729.02,10387.53
1.24,1.27,1.17,1.25,2017-10-03,18695.89,23182.9
1.28,1.38,1.28,1.34,2017-10-02,20753.35,26564.29
1.34,1.45,1.34,1.43,2017-10-01,10918.68,14631.03
1.42,1.45,1.34,1.34,2017-09-30,16532.91,23476.73
1.29,1.33,1.24,1.26,2017-09-29,24849.4,32055.73
1.27,1.36,1.27,1.36,2017-09-28,26053.82,33088.35
1.37,1.48,1.33,1.47,2017-09-27,88690.77,121506.35
1.36,1.43,1.32,1.43,2017-09-26,25500.26,34680.35
1.45,1.59,1.28,1.31,2017-09-25,114755.33,166395.23
1.22,1.31,1.14,1.28,2017-09-24,30309.58,36977.69
1.32,1.42,1.32,1.33,2017-09-23,11736.77,15492.54
1.27,1.6,1.23,1.33,2017-09-22,98967.09,125688.2
1.34,1.61,1.25,1.26,2017-09-21,164733.35,220742.69
1.35,2.13,1.27,1.31,2017-09-20,391417.11,528413.1
1.32,1.37,1.18,1.24,2017-09-19,42338.24,55886.48
1.3,1.36,1.23,1.27,2017-09-18,24592.2,31969.86
1.14,1.17,1.06,1.06,2017-09-17,26101.15,29755.31
1.07,1.28,1.04,1.14,2017-09-16,59048.08,63181.45
1.14,1.26,1.03,1.03,2017-09-15,35597.1,40580.69
0.8977,0.9833,0.8811,0.9392,2017-09-14,25799.3,23160.03
1.12,1.2,1.03,1.16,2017-09-13,41791.12,46806.05
1.25,1.46,1.14,1.18,2017-09-12,63264.99,79081.24
