Price,High,Low,Open,Date,Volumefrom,Volumeto
0.8467,0.8899,0.7704,0.8486,2018-01-11,8152245.05,7050061.52
0.9438,1.12,0.9304,1.11,2018-01-10,9381819.51,8854561.25
1.07,1.13,1.02,1.05,2018-01-09,9149735.69,9790217.19
1.08,1.18,0.9766,0.9989,2018-01-08,17794021.34,19217543.05
1.08,1.12,0.9727,0.9755,2018-01-07,11902169.75,12854343.33
1.03,1.1,0.8854,0.9644,2018-01-06,11220585.12,11557202.67
0.9562,1.22,0.9061,1.19,2018-01-05,19631689.97,18771821.95
1.06,1.21,0.9978,1.09,2018-01-04,14247031.81,15101853.72
1.08,1.19,1.04,1.12,2018-01-03,17763191.2,19184246.5
1.09,1.31,0.9511,1.02,2018-01-02,36259244.63,39522576.65
0.9308,0.9553,0.7949,0.8215,2018-01-01,18615161.98,17326992.77
0.8464,0.8729,0.7346,0.7802,2017-12-31,13512146.29,11436680.62
0.7039,0.7253,0.659,0.7213,2017-12-30,15537229.11,10936655.57
0.8292,0.8814,0.7955,0.8185,2017-12-29,17525976.4,14532539.63
0.819,0.8659,0.6798,0.8225,2017-12-28,29820700.92,24423154.05
0.8804,0.9581,0.6791,0.75,2017-12-27,56352024.56,49612322.42
0.7766,0.8323,0.621,0.803,2017-12-26,21548268.18,16734385.07
0.7051,0.7163,0.6207,0.6388,2017-12-25,18642798.23,13145037.03
0.6368,0.6589,0.5513,0.5774,2017-12-24,17950601.79,11430943.22
0.6041,0.685,0.5324,0.5504,2017-12-23,19942409.31,12047209.46
0.5224,0.5776,0.4216,0.5764,2017-12-22,24885133.96,12999993.98
0.6594,0.7281,0.554,0.5596,2017-12-21,37547151.75,24758591.86
0.5911,0.6374,0.493,0.5373,2017-12-20,26954004.36,15932511.98
0.5723,0.5998,0.4856,0.5141,2017-12-19,28993459.22,16592956.71
0.5566,0.5974,0.4713,0.4768,2017-12-18,16644038.23,9264071.68
0.4791,0.5035,0.404,0.409,2017-12-17,13527353.52,6480955.07
0.415,0.4755,0.3906,0.432,2017-12-16,11166013.59,4633895.64
0.3926,0.4607,0.354,0.4593,2017-12-15,16167506.84,6347363.19
0.4296,0.4433,0.3592,0.3664,2017-12-14,20531768.6,8820447.79
0.3621,0.3629,0.3316,0.3337,2017-12-13,9931641.52,3596247.39
0.3502,0.3671,0.3213,0.3326,2017-12-12,10870701.04,3806919.5
0.3258,0.3285,0.3047,0.3161,2017-12-11,7276082.11,2370547.55
0.2836,0.3214,0.2798,0.3132,2017-12-10,5362168.23,1520710.91
0.3077,0.3513,0.2964,0.2978,2017-12-09,12452896.54,3831756.27
0.3205,0.3234,0.2489,0.2715,2017-12-08,10659359.13,3416324.6
0.2851,0.4179,0.2731,0.416,2017-12-07,22163765.57,6318889.56
0.3395,0.4221,0.3371,0.4221,2017-12-06,16913775.33,5742226.72
0.3583,0.3716,0.3476,0.3634,2017-12-05,10695223.93,3832098.73
0.3603,0.3734,0.3224,0.3266,2017-12-04,22171559.06,7988412.73
0.3167,0.3392,0.3125,0.3214,2017-12-03,9840064.51,3116348.43
