Price,High,Low,Open,Date,Volumefrom,Volumeto
2.91,3.03,2.55,2.7,2018-01-18,14054716.73,39762502.65
2.7,2.93,1.93,2.55,2018-01-17,39758410.68,95448237.5
2.55,3.48,1.92,3.47,2018-01-16,45800745.03,125424301.96
3.47,3.77,3.41,3.72,2018-01-15,6858081.39,24637422.7
3.72,4.03,3.57,3.9,2018-01-14,10343013.83,38775769.09
3.9,4.08,3.64,3.64,2018-01-13,12978483.25,50484640.15
3.64,3.7,3.22,3.35,2018-01-12,8970588.21,31502035.84
3.35,3.8,2.95,3.74,2018-01-11,22386634.26,75688128.98
3.75,3.77,3.1,3.53,2018-01-10,17977435.27,61960894.5
3.53,3.92,3.41,3.79,2018-01-09,13914163.89,50959571.02
3.79,4.2,3.16,4.08,2018-01-08,18949796.93,72494523.33
4.08,4.44,3.95,3.99,2018-01-07,19421379.79,80942261.34
3.99,4.14,3.75,3.76,2018-01-06,9493402.18,37675132.96
3.76,4.19,3.62,4.1,2018-01-05,13120784.04,51367251.26
4.1,4.5,3.71,4.13,2018-01-04,23012840.28,94278981.39
4.13,4.18,3.9,3.98,2018-01-03,13862384.81,55821832.72
3.98,4.25,3.79,3.9,2018-01-02,20827343.45,84449230.53
3.9,4.2,3.39,3.51,2018-01-01,21952679.25,84251830.24
3.51,3.69,3.23,3.24,2017-12-31,16386887.03,56908518.99
3.24,3.74,2.9,3.65,2017-12-30,31534137.33,101368721.21
3.65,3.91,3.43,3.65,2017-12-29,21093666.08,77358590.64
3.65,3.77,3.21,3.7,2017-12-28,27430927.78,94241062.36
3.7,4.34,3.58,3.77,2017-12-27,41018358.72,160528719.68
3.77,3.79,3.43,3.45,2017-12-26,19081142.93,69066741.87
3.45,3.79,3.21,3.42,2017-12-25,23608139.7,83480266.36
3.42,3.6,2.72,3.56,2017-12-24,48389304.0,156905602.12
3.56,4.09,3.25,3.38,2017-12-23,38390274.58,143725391.19
3.38,4.83,1.1,4.74,2017-12-22,154979702.34,486846533.94
4.74,5.33,4.51,4.87,2017-12-21,37324985.41,183549919.37
4.87,5.55,4.5,5.32,2017-12-20,52372386.29,262318827.48
5.32,5.8,3.7,4.16,2017-12-19,103509018.13,496624251.78
4.16,4.38,3.52,3.76,2017-12-18,42614225.6,170934670.83
3.76,3.98,3.41,3.59,2017-12-17,32346050.88,118889809.27
3.59,4.04,3.4,3.9,2017-12-16,30511046.43,112269586.36
3.9,4.19,3.32,3.7,2017-12-15,45480148.3,170564268.26
3.67,4.33,3.25,4.05,2017-12-14,62977712.98,234297788.03
4.05,4.78,3.63,4.73,2017-12-13,48009165.2,198218439.92
4.73,5.03,4.13,4.22,2017-12-12,40552359.58,187219571.5
4.22,4.55,4.0,4.04,2017-12-11,34832581.25,147499517.53
3.98,4.53,3.58,4.53,2017-12-10,69674240.78,282707340.81
4.52,5.2,4.01,4.95,2017-12-09,55531678.72,257716406.47
4.93,4.95,3.43,4.04,2017-12-08,64178672.24,265688180.62
4.04,4.58,3.03,4.35,2017-12-07,86416668.16,320704992.95
4.45,5.58,3.51,3.74,2017-12-06,93390221.79,421344163.75
3.82,3.97,2.1,2.63,2017-12-05,79915922.83,260234070.52
2.63,2.89,1.83,1.84,2017-12-04,42962429.33,103291345.31
1.84,1.98,1.42,1.45,2017-12-03,34971072.07,59893496.83
1.44,1.45,1.33,1.44,2017-12-02,27779440.89,38912891.4
1.44,1.5,1.22,1.31,2017-12-01,28742929.56,39031245.36
1.31,1.38,1.08,1.24,2017-11-30,42102440.8,52871372.99
1.24,1.54,1.07,1.45,2017-11-29,45484103.18,63751202.76
1.45,1.47,1.02,1.04,2017-11-28,54765164.62,64625717.35
1.04,1.1,0.7882,0.8055,2017-11-27,48082720.06,44909311.15
0.8055,0.8055,0.8055,0.8055,2017-11-26,0.0,0.0
0.8055,0.856,0.7051,0.7837,2017-11-25,30502898.86,23880679.36
0.7835,0.7942,0.668,0.7791,2017-11-24,46089287.5,33935405.32
0.7791,0.915,0.779,0.9009,2017-11-23,31167429.98,27029628.69
0.9009,0.9551,0.8524,0.8844,2017-11-22,29497601.52,26686976.76
0.8846,0.982,0.7463,0.9584,2017-11-21,44195981.29,39379797.74
0.9531,0.984,0.85,0.851,2017-11-20,32805574.38,30558575.93
0.8528,0.884,0.8047,0.8163,2017-11-19,26720287.85,22691168.02
0.819,0.849,0.7499,0.7912,2017-11-18,29862819.07,23561110.19
0.791,0.8777,0.7263,0.825,2017-11-17,51909950.08,41712614.92
0.825,0.8967,0.706,0.787,2017-11-16,60149258.14,48084616.43
0.787,0.7873,0.6,0.6059,2017-11-15,48292803.19,33027096.07
0.6059,0.6189,0.525,0.5835,2017-11-14,28607217.85,16593511.2
0.5861,0.6394,0.5673,0.5861,2017-11-13,30197330.22,18251885.46
0.5885,0.635,0.505,0.6237,2017-11-12,34953024.12,20183170.3
0.6199,0.6249,0.4939,0.5011,2017-11-11,31790525.5,17511551.95
0.503,0.564,0.455,0.5338,2017-11-10,66461598.33,33670596.7
0.5335,0.5999,0.464,0.4746,2017-11-09,90777716.9,50128964.26
0.473,0.4905,0.38,0.3824,2017-11-08,57454855.88,25446432.19
0.3824,0.398,0.3621,0.374,2017-11-07,20463217.81,7791821.31
0.3729,0.3795,0.3387,0.3506,2017-11-06,15117776.57,5451385.89
0.3506,0.371,0.335,0.3695,2017-11-05,15843059.64,5525771.0
0.3685,0.3937,0.3649,0.3937,2017-11-04,9769079.38,3646845.37
0.3927,0.3967,0.3588,0.3642,2017-11-03,16267193.24,6072020.33
0.3661,0.3847,0.32,0.3637,2017-11-02,29490451.53,10324161.19
0.3644,0.3923,0.3517,0.3912,2017-11-01,14804306.63,5509264.94
0.3918,0.4087,0.3891,0.4073,2017-10-31,9737182.83,3872511.62
0.408,0.415,0.3851,0.4032,2017-10-30,10513859.92,4209394.69
0.4024,0.415,0.367,0.3961,2017-10-29,20576559.21,7988562.42
0.3952,0.4309,0.391,0.4249,2017-10-28,9190579.08,3727359.13
0.4231,0.44,0.39,0.4155,2017-10-27,11960257.06,4981146.23
0.4168,0.457,0.4115,0.4434,2017-10-26,11967262.78,5181760.47
0.443,0.4769,0.4271,0.455,2017-10-25,16655791.32,7419496.39
0.45,0.5059,0.3701,0.388,2017-10-24,65233200.92,29222238.12
0.388,0.394,0.34,0.3822,2017-10-23,16638297.35,6131515.31
0.3823,0.408,0.3761,0.3882,2017-10-22,12138237.29,4764777.05
0.3882,0.4065,0.3193,0.3999,2017-10-21,27412503.98,9892547.08
0.3995,0.4345,0.3857,0.4327,2017-10-20,19980844.24,8105050.03
0.4326,0.4677,0.41,0.4543,2017-10-19,11233135.75,4894935.25
0.453,0.479,0.425,0.4686,2017-10-18,11399331.84,5135366.44
0.468,0.507,0.4311,0.4489,2017-10-17,12295375.03,5656421.31
0.4489,0.4597,0.42,0.437,2017-10-16,7703717.56,3408883.4
0.4383,0.461,0.41,0.4591,2017-10-15,10074692.07,4354699.69
0.4591,0.4845,0.4293,0.44,2017-10-14,14466575.32,6667635.01
0.44,0.4476,0.4,0.414,2017-10-13,15122672.0,6416802.07
0.414,0.4867,0.38,0.4816,2017-10-12,20062321.34,8673915.71
0.4816,0.4889,0.462,0.476,2017-10-11,6358576.68,3021065.14
0.476,0.4896,0.451,0.469,2017-10-10,7145062.48,3382461.35
0.469,0.505,0.433,0.5,2017-10-09,22629583.86,10532685.58
0.5,0.54,0.493,0.5369,2017-10-08,10344217.07,5400311.2
0.5369,0.551,0.486,0.504,2017-10-07,10249355.26,5280957.56
0.504,0.5632,0.4874,0.5424,2017-10-06,12929760.59,6831300.18
0.5424,0.5681,0.5161,0.5447,2017-10-05,7980484.29,4345544.28
0.5447,0.5697,0.515,0.5606,2017-10-04,9856313.97,5304712.1
0.5606,0.582,0.512,0.578,2017-10-03,15962750.44,8630146.94
0.578,0.6225,0.5638,0.6124,2017-10-02,15463508.86,9092544.18
0.6124,0.6318,0.591,0.6223,2017-10-01,9743798.79,5925652.34
0.6223,0.6493,0.576,0.5836,2017-09-30,25694412.23,15969866.22
0.5836,0.6103,0.541,0.5951,2017-09-29,21684247.06,12467881.33
0.5951,0.6147,0.5261,0.5509,2017-09-28,26853365.92,15437603.0
0.5509,0.5544,0.505,0.5146,2017-09-27,16157888.17,8650909.35
0.5146,0.56,0.5051,0.556,2017-09-26,14895590.82,7950222.7
0.556,0.569,0.5208,0.5213,2017-09-25,13724855.13,7539856.35
0.5213,0.5424,0.5042,0.54,2017-09-24,11570262.75,6041901.38
0.54,0.555,0.4935,0.505,2017-09-23,11398096.1,6092149.64
0.505,0.5178,0.471,0.4985,2017-09-22,13991025.72,6901949.13
0.4985,0.5728,0.4653,0.5674,2017-09-21,26556817.67,13514129.04
0.5674,0.5911,0.541,0.5585,2017-09-20,11709562.16,6653281.0
0.5585,0.6145,0.5521,0.6075,2017-09-19,18428824.65,10565680.92
0.6075,0.6171,0.4934,0.4958,2017-09-18,38396997.24,22068230.21
0.4958,0.5048,0.461,0.4848,2017-09-17,11028664.18,5356020.42
0.4848,0.5128,0.452,0.4797,2017-09-16,22415842.19,10781627.67
0.4797,0.5127,0.37,0.4494,2017-09-15,72582835.49,32174255.59
0.4494,0.576,0.441,0.5613,2017-09-14,48395802.39,23728451.14
0.5613,0.5979,0.4714,0.5918,2017-09-13,43254801.38,22654031.7
0.5918,0.6495,0.5408,0.5628,2017-09-12,57832928.08,34890237.71
0.5628,0.569,0.479,0.4989,2017-09-11,26915179.84,13731837.93
0.4989,0.569,0.4588,0.5594,2017-09-10,49495308.03,24813146.87
0.5594,0.584,0.5183,0.5373,2017-09-09,18600439.37,10289183.11
0.5373,0.66,0.4786,0.6479,2017-09-08,60820289.45,33374603.24
0.6479,0.74,0.6141,0.7394,2017-09-07,30510372.67,20523394.74
0.7394,0.7488,0.592,0.6132,2017-09-06,29444729.2,19935928.92
0.6132,0.6499,0.455,0.5484,2017-09-05,49973522.89,28222355.85
0.5484,0.7442,0.3633,0.7417,2017-09-04,97007897.86,54618042.4
0.7417,0.777,0.666,0.6921,2017-09-03,27444063.47,19943217.78
0.6921,0.7999,0.64,0.7927,2017-09-02,35252410.5,24754845.75
0.7927,0.88,0.771,0.8415,2017-09-01,19686062.25,16395351.93
0.8415,0.9,0.82,0.8675,2017-08-31,10574551.55,9170131.8
0.8675,0.8765,0.7838,0.8125,2017-08-30,11778395.48,9937742.85
0.8125,0.875,0.7053,0.8744,2017-08-29,18650892.34,15007894.58
0.8744,0.929,0.78,0.9194,2017-08-28,13702463.54,11772010.85
0.9193,0.9801,0.88,0.96,2017-08-27,9419192.02,8671763.44
0.96,0.9749,0.875,0.9164,2017-08-26,10160761.92,9399472.89
0.9164,0.9349,0.835,0.891,2017-08-25,12946192.93,11436765.65
0.89,0.8949,0.7959,0.851,2017-08-24,10055394.48,8478289.04
0.851,0.9408,0.8303,0.838,2017-08-23,17449947.24,15372233.07
0.838,0.9046,0.7778,0.9001,2017-08-22,19021293.04,15961001.46
0.9001,0.9408,0.84,0.9101,2017-08-21,19426689.5,17235787.98
0.9101,1.03,0.91,0.9791,2017-08-20,18462523.91,18151967.21
0.9791,0.9859,0.77,0.867,2017-08-19,25832231.64,22746400.58
0.867,1.04,0.7611,1.01,2017-08-18,43819146.6,39474941.58
1.01,1.1,0.99,1.04,2017-08-17,32062733.44,33921131.2
1.04,1.05,0.8633,0.917,2017-08-16,29032252.57,27930190.55
0.917,0.995,0.75,0.972,2017-08-15,58245500.45,52452063.41
0.972,0.9797,0.7914,0.8043,2017-08-14,29562627.92,26449307.52
0.8043,0.83,0.69,0.72,2017-08-13,27719051.11,21581927.23
0.72,0.73,0.6128,0.6547,2017-08-12,14566696.27,9837488.27
0.6547,0.7177,0.5561,0.5624,2017-08-11,33858211.17,21553380.53
0.5624,0.5892,0.5069,0.53,2017-08-10,16595119.47,9266383.94
0.53,0.557,0.5091,0.5481,2017-08-09,13389549.63,7137062.66
0.5481,0.5517,0.4555,0.474,2017-08-08,24119205.81,12202146.77
0.474,0.49,0.411,0.4299,2017-08-07,15977115.62,7356892.23
0.4299,0.44,0.395,0.408,2017-08-06,7063554.48,2911311.32
0.408,0.4316,0.3601,0.3937,2017-08-05,13375505.63,5389189.87
0.3937,0.4217,0.3315,0.3319,2017-08-04,27974362.14,10871829.36
0.3319,0.3392,0.285,0.286,2017-08-03,15208515.01,4842192.93
0.286,0.2939,0.2715,0.291,2017-08-02,5875022.49,1649745.33
0.291,0.294,0.2493,0.254,2017-08-01,8520859.18,2349162.12
0.254,0.26,0.244,0.2547,2017-07-31,3067018.03,774020.48
0.2547,0.278,0.2502,0.2767,2017-07-30,5722518.87,1506166.63
0.2767,0.278,0.243,0.2651,2017-07-29,4362966.92,1129721.44
0.2651,0.2765,0.262,0.273,2017-07-28,2980251.09,801625.57
0.273,0.285,0.2711,0.2744,2017-07-27,5913334.55,1653067.65
0.2744,0.2845,0.2409,0.25,2017-07-26,7710439.3,2070284.26
0.25,0.2688,0.2365,0.2674,2017-07-25,5822588.85,1449237.77
0.2674,0.273,0.2361,0.2649,2017-07-24,8633474.23,2223748.01
0.2649,0.28,0.2551,0.2716,2017-07-23,5931405.58,1593743.24
0.2716,0.2785,0.2536,0.2595,2017-07-22,7319161.16,1940216.9
0.2595,0.3078,0.2452,0.2937,2017-07-21,12959366.13,3641056.26
0.2937,0.3043,0.2302,0.2314,2017-07-20,19156154.08,5318148.16
0.2314,0.2849,0.23,0.268,2017-07-19,14717615.4,3743900.98
0.268,0.3123,0.246,0.264,2017-07-18,23190461.36,6657222.4
0.264,0.28,0.1767,0.178,2017-07-17,31563512.38,7509664.3
0.178,0.188,0.155,0.1582,2017-07-16,10918979.87,1876063.18
0.1582,0.1763,0.1427,0.1751,2017-07-15,14451678.15,2300878.63
0.1751,0.2131,0.1602,0.2129,2017-07-14,7660468.3,1387934.01
0.2129,0.239,0.1875,0.2288,2017-07-13,8121461.95,1739467.77
0.2288,0.2395,0.1806,0.1869,2017-07-12,10987362.89,2354393.15
0.1869,0.2342,0.1837,0.21,2017-07-11,14921392.99,3061285.43
0.21,0.3041,0.1837,0.3,2017-07-10,22297236.9,5296590.19
0.3,0.3125,0.2829,0.3003,2017-07-09,3017972.41,891132.55
0.3003,0.3202,0.2751,0.2822,2017-07-08,5138732.27,1526339.31
0.2822,0.3565,0.27,0.3529,2017-07-07,11934073.96,3613254.61
0.3529,0.3851,0.3033,0.381,2017-07-06,11065699.03,3901437.55
0.381,0.3987,0.3681,0.3938,2017-07-05,2314101.07,883114.64
0.3938,0.4098,0.3702,0.376,2017-07-04,2879544.17,1126011.22
0.376,0.385,0.35,0.3769,2017-07-03,3703605.72,1359977.28
0.3769,0.39,0.36,0.3811,2017-07-02,2263467.04,844444.57
0.3811,0.4129,0.3701,0.398,2017-07-01,1679947.64,654289.32
0.398,0.449,0.393,0.411,2017-06-30,2510330.5,1065339.66
0.411,0.4599,0.3619,0.373,2017-06-29,3891326.73,1584518.22
0.373,0.4,0.3511,0.394,2017-06-28,3372494.33,1255278.06
0.394,0.42,0.3483,0.408,2017-06-27,3235162.46,1203467.51
0.408,0.4659,0.3401,0.4653,2017-06-26,7089028.89,2770249.45
0.4653,0.5214,0.4401,0.5053,2017-06-25,3529984.32,1707780.99
0.5053,0.6289,0.4767,0.4828,2017-06-24,8840428.6,4742047.02
0.4828,0.4828,0.433,0.4373,2017-06-23,2033056.64,928850.24
0.4373,0.4499,0.4114,0.425,2017-06-22,1080249.42,469896.82
0.425,0.4624,0.415,0.4405,2017-06-21,3453289.58,1528500.55
0.4405,0.4472,0.411,0.4254,2017-06-20,3237492.65,1391167.54
0.4254,0.435,0.395,0.4056,2017-06-19,1892912.12,788130.95
0.4056,0.4502,0.385,0.428,2017-06-18,1754651.02,722974.53
0.428,0.4512,0.4,0.4082,2017-06-17,1422734.77,622794.3
0.4082,0.599,0.3053,0.3467,2017-06-16,4599676.22,1857604.87
0.3467,0.5447,0.2912,0.5202,2017-06-15,7001897.7,2693369.33
0.5202,0.6101,0.4795,0.587,2017-06-14,7801447.35,4352877.46
0.587,0.589,0.538,0.553,2017-06-13,161426.23,89085.41
0.0,0.0,0.0,0.0,2017-06-12,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-11,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-10,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-09,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-08,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-07,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-06,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-05,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-04,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-03,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-02,0.0,0.0
0.0,0.0,0.0,0.0,2017-06-01,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-31,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-30,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-29,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-28,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-27,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-26,0.0,0.0
0.0,0.0,0.0,0.0,2017-05-25,0.0,0.0
