Price,High,Low,Open,Date,Volumefrom,Volumeto
201.25,208.37,175.46,188.14,2018-01-18,1179998.97,227632135.41
188.21,204.56,136.45,183.7,2018-01-17,2667358.04,458374670.48
183.86,232.4,147.78,231.89,2018-01-16,2444227.94,473245937.42
231.89,244.4,230.79,236.86,2018-01-15,466142.48,110848991.11
236.86,268.81,231.43,257.94,2018-01-14,766737.16,189083699.89
257.94,262.87,235.3,235.35,2018-01-13,713207.86,176341211.15
235.35,241.83,219.62,226.53,2018-01-12,601578.96,140305335.34
226.53,252.89,217.85,249.11,2018-01-11,1131662.93,262771223.33
249.1,249.31,230.66,246.02,2018-01-10,859733.09,207658680.7
246.04,258.59,237.98,254.24,2018-01-09,733760.61,184228877.9
254.25,273.47,231.21,271.57,2018-01-08,1056007.91,270377483.58
271.57,287.27,265.37,278.92,2018-01-07,764130.75,212682356.33
278.92,305.21,243.56,244.51,2018-01-06,1820160.48,511915657.4
244.51,251.56,235.0,238.3,2018-01-05,1073887.31,262545479.11
238.3,244.88,225.59,244.63,2018-01-04,880942.78,206659684.03
244.63,256.81,241.11,251.81,2018-01-03,851666.05,211596420.85
251.81,260.53,224.28,224.34,2018-01-02,1278275.25,314730425.65
224.34,232.26,216.42,226.52,2018-01-01,516920.48,115831512.64
226.52,235.4,207.95,212.07,2017-12-31,841309.91,187138183.8
212.07,243.42,202.02,243.13,2017-12-30,1218741.31,268737310.82
243.13,258.36,236.39,249.84,2017-12-29,836578.77,207115905.19
249.86,265.65,224.07,264.07,2017-12-28,1155310.98,281385850.91
264.07,285.32,252.87,279.47,2017-12-27,812937.24,219103646.23
279.49,283.86,267.58,268.03,2017-12-26,687239.9,190763629.05
268.21,283.46,262.39,272.24,2017-12-25,569060.0,154893244.84
272.24,285.4,244.14,283.69,2017-12-24,1190611.75,314928561.95
284.11,312.71,256.31,262.15,2017-12-23,1519044.69,433571769.1
262.09,309.11,158.96,307.69,2017-12-22,4775833.04,1167484790.83
307.69,327.26,286.39,304.77,2017-12-21,1381946.46,422642587.94
304.81,346.73,286.54,346.73,2017-12-20,2365656.66,752136890.57
346.87,376.1,324.37,357.51,2017-12-19,2310681.43,814023803.65
357.51,364.34,300.88,319.57,2017-12-18,1900832.44,626661390.18
319.57,332.09,300.59,302.04,2017-12-17,1599061.91,511044214.22
302.04,311.18,285.56,299.98,2017-12-16,1299384.74,389831717.68
300.27,317.69,249.24,280.02,2017-12-15,2872380.22,828163804.95
279.81,314.78,268.12,305.03,2017-12-14,2000999.92,584754476.6
305.27,347.8,276.12,327.96,2017-12-13,3799072.43,1198402020.67
328.52,401.76,210.36,214.53,2017-12-12,5958977.43,1712426348.74
214.54,225.55,146.97,147.46,2017-12-11,4325680.61,806672044.43
147.84,156.72,130.39,155.98,2017-12-10,2513708.41,361899241.26
155.98,179.54,125.34,125.34,2017-12-09,5632742.17,853646807.31
125.24,136.4,93.37,95.99,2017-12-08,4076572.6,473760093.71
96.0,99.81,86.93,98.94,2017-12-07,1731647.86,165747903.4
98.97,103.0,95.11,100.49,2017-12-06,1462459.21,146319763.02
100.49,103.91,100.37,103.86,2017-12-05,910964.87,92720782.62
103.87,103.95,95.39,100.71,2017-12-04,1070029.64,107176440.63
100.7,106.77,96.87,99.32,2017-12-03,1362821.76,138622765.31
99.32,103.41,97.52,99.15,2017-12-02,1419498.63,142658345.14
99.15,100.22,81.11,85.94,2017-12-01,2191137.08,201759858.57
85.94,92.23,76.95,85.4,2017-11-30,1893458.34,159892481.32
85.41,103.03,78.12,94.22,2017-11-29,2993509.96,283266729.01
94.22,94.53,89.53,90.99,2017-11-28,1209822.51,111647453.48
90.99,93.11,86.12,86.2,2017-11-27,1588524.41,142772956.71
86.24,88.77,83.73,88.77,2017-11-26,927136.62,79938117.09
88.79,89.47,77.07,77.53,2017-11-25,1908366.6,158025655.36
77.54,77.61,72.34,72.97,2017-11-24,1103526.27,82185081.57
72.94,76.77,70.74,72.03,2017-11-23,1452417.2,107737051.93
72.03,72.04,69.88,69.91,2017-11-22,675949.97,48021169.53
69.91,72.85,68.09,72.38,2017-11-21,1283528.9,90392116.91
72.38,73.16,70.9,71.76,2017-11-20,979972.34,70492845.22
71.76,73.24,68.47,69.42,2017-11-19,1103659.82,77870138.77
69.42,69.77,65.41,67.36,2017-11-18,811385.44,54642292.94
67.36,71.29,65.33,70.7,2017-11-17,1728098.47,117701637.06
70.7,72.5,62.5,63.15,2017-11-16,1640431.26,108893924.78
63.16,76.1,62.08,62.13,2017-11-15,934924.43,62683272.43
62.13,63.41,60.12,61.0,2017-11-14,936563.06,57740143.26
61.0,61.84,58.07,58.53,2017-11-13,1058638.68,63578216.42
58.54,62.26,56.73,62.14,2017-11-12,1527653.8,90545722.68
62.14,63.77,58.64,59.07,2017-11-11,1169795.97,71691165.51
58.99,65.75,56.02,64.15,2017-11-10,1845061.12,112277387.44
64.15,66.9,61.59,62.38,2017-11-09,1507681.54,96467373.94
62.38,64.07,59.59,60.52,2017-11-08,1929054.85,119045612.63
60.52,63.49,54.47,54.5,2017-11-07,1990453.25,117999766.44
54.5,55.79,53.43,54.6,2017-11-06,655602.25,35930222.15
54.6,55.45,54.43,54.84,2017-11-05,415689.5,22789832.45
54.83,56.12,54.62,55.98,2017-11-04,431022.66,23813377.86
55.98,56.13,53.79,54.19,2017-11-03,808480.75,44375580.1
54.19,54.9,50.03,52.82,2017-11-02,1316174.14,68822709.59
52.83,55.62,52.72,55.5,2017-11-01,633540.44,34633306.9
55.5,56.74,55.49,56.22,2017-10-31,429393.98,24119437.14
56.22,58.66,55.81,56.75,2017-10-30,575177.06,32778628.05
56.75,57.83,53.86,54.22,2017-10-29,745887.06,41624090.91
54.22,55.79,53.95,55.02,2017-10-28,308611.81,16837184.69
55.02,55.99,54.69,55.55,2017-10-27,353161.94,19515585.36
55.55,56.95,54.9,56.19,2017-10-26,448359.29,25040264.66
56.19,56.4,53.52,55.56,2017-10-25,666770.87,36591936.46
55.56,58.98,52.35,54.63,2017-10-24,1227190.77,69816687.74
54.63,56.57,51.92,56.52,2017-10-23,1171396.45,63386543.19
56.51,58.67,55.73,58.09,2017-10-22,538797.55,30628993.59
58.09,60.36,56.17,60.08,2017-10-21,820490.72,47776832.14
60.09,62.17,58.31,59.68,2017-10-20,921517.73,55677469.84
59.68,61.39,58.35,60.55,2017-10-19,986953.9,59145290.66
60.55,61.89,53.05,59.19,2017-10-18,1709310.65,98042683.55
59.19,64.97,58.5,64.76,2017-10-17,1016881.05,62123185.52
64.76,66.41,62.28,65.58,2017-10-16,898220.74,57750104.01
65.57,69.95,62.08,63.94,2017-10-15,2079801.1,136097133.07
63.94,66.48,58.34,59.05,2017-10-14,1773158.56,111286807.31
59.05,60.76,55.11,59.72,2017-10-13,2096690.25,122355541.45
59.72,59.72,50.73,50.79,2017-10-12,2193019.01,121666559.46
50.79,51.05,50.18,50.58,2017-10-11,394320.41,19957142.12
50.58,51.63,49.69,50.08,2017-10-10,627881.58,31741909.99
50.08,53.44,48.12,53.3,2017-10-09,1081756.15,54786620.31
53.3,54.79,52.32,52.57,2017-10-08,678233.14,36217438.71
52.57,52.9,51.61,52.08,2017-10-07,365539.08,19001783.55
52.08,52.75,51.34,51.64,2017-10-06,415386.22,21668387.99
51.64,51.87,50.17,51.22,2017-10-05,520188.77,26593841.05
51.22,52.98,50.53,52.15,2017-10-04,600284.58,31053173.59
52.15,53.54,51.34,53.29,2017-10-03,589394.71,30707803.26
53.29,54.97,52.93,54.8,2017-10-02,567239.29,30684048.14
54.8,55.55,53.58,55.41,2017-10-01,558315.88,30401267.37
55.41,55.91,52.75,52.8,2017-09-30,670838.08,36860837.86
52.8,54.93,50.44,54.91,2017-09-29,1219765.7,64227763.47
54.91,57.16,54.0,56.9,2017-09-28,1162968.87,64516773.54
56.9,57.39,52.24,52.27,2017-09-27,1367042.73,75024623.22
52.27,54.37,51.42,52.27,2017-09-26,917656.12,48431172.1
52.27,53.16,47.47,47.5,2017-09-25,1296904.9,66087743.34
47.5,49.4,47.18,49.29,2017-09-24,616636.42,29589565.36
49.29,50.01,46.38,47.67,2017-09-23,924125.98,44793106.02
47.67,49.03,44.8,46.46,2017-09-22,1642332.89,76916515.52
46.46,52.48,45.11,51.56,2017-09-21,2062267.22,100420510.01
51.56,54.37,51.07,52.8,2017-09-20,879633.65,46361439.88
52.8,56.7,51.27,56.16,2017-09-19,1657588.51,89515520.8
56.16,57.49,50.98,51.0,2017-09-18,2025289.72,111381221.66
51.0,53.18,47.73,52.1,2017-09-17,1436990.91,73060667.9
52.1,57.34,50.54,52.0,2017-09-16,2259867.99,120177655.47
52.0,55.65,33.38,45.2,2017-09-15,7263563.12,343835193.01
45.2,62.66,44.9,61.78,2017-09-14,3985897.67,205038177.61
61.78,66.34,57.87,65.89,2017-09-13,2300788.17,140918803.14
65.89,71.97,64.72,68.13,2017-09-12,1421854.09,97264307.0
68.13,71.21,65.55,67.08,2017-09-11,1079756.1,73656622.48
67.08,71.11,63.33,71.09,2017-09-10,1583298.28,105909535.34
71.09,73.95,69.0,73.19,2017-09-09,1077310.24,76615292.0
73.19,82.2,68.42,80.25,2017-09-08,2538937.55,187197024.21
80.25,82.84,77.4,81.44,2017-09-07,1211324.83,96855844.67
81.44,82.17,73.69,73.73,2017-09-06,1886517.57,147734449.3
