Price,High,Low,Open,Date,Volumefrom,Volumeto
21.8,23.8,18.96,23.15,2018-01-11,1327367.45,28608450.71
23.15,25.37,21.5,25.1,2018-01-10,1022070.32,23508654.8
25.1,26.19,22.54,23.76,2018-01-09,1454749.13,35633051.95
23.76,28.46,18.99,24.34,2018-01-08,2971571.22,73133204.88
24.34,24.47,19.04,19.18,2018-01-07,1994116.37,43821476.2
19.18,19.76,17.98,18.59,2018-01-06,782372.13,14892501.14
18.59,20.33,17.94,19.68,2018-01-05,1039007.51,19932493.51
19.68,21.97,19.34,20.53,2018-01-04,963281.96,19774018.78
20.53,21.27,18.83,20.14,2018-01-03,1106033.31,22042305.39
20.14,22.56,18.53,19.18,2018-01-02,2214416.2,44266399.09
19.18,20.84,17.85,19.6,2018-01-01,1582466.26,30168710.29
19.6,21.99,15.21,16.48,2017-12-31,3480056.44,65460738.73
16.48,16.5,12.57,15.87,2017-12-30,1482656.31,21305398.55
15.87,16.76,14.4,15.0,2017-12-29,1486836.82,23332762.58
15.0,15.24,12.63,14.88,2017-12-28,1024862.1,14110907.17
14.88,15.74,13.93,15.12,2017-12-27,876604.62,13122887.28
15.12,16.17,14.36,15.32,2017-12-26,1139301.98,17140512.63
15.32,15.55,13.64,14.15,2017-12-25,1303137.28,19285432.44
14.15,14.19,11.21,14.04,2017-12-24,1565179.39,20003694.81
14.04,15.45,12.34,12.63,2017-12-23,2129441.83,30296802.33
12.63,17.52,9.27,17.06,2017-12-22,6306537.31,77710145.11
17.06,18.91,15.65,17.8,2017-12-21,1955802.48,33669490.38
17.8,19.15,15.42,17.8,2017-12-20,3535765.85,59638541.25
17.8,21.54,16.26,18.4,2017-12-19,4346208.42,83275611.36
18.4,18.46,14.46,15.56,2017-12-18,3733762.74,62397724.09
15.56,17.58,13.6,14.13,2017-12-17,3541051.37,55027751.63
14.13,15.41,11.64,11.67,2017-12-16,6567329.7,91664292.24
11.67,11.67,9.85,11.42,2017-12-15,1494941.48,16082019.36
11.42,11.86,10.53,10.61,2017-12-14,1625689.06,18079137.19
10.61,11.51,9.46,10.32,2017-12-13,3346440.1,35308186.99
10.29,11.12,8.76,9.0,2017-12-12,3449821.05,34177170.53
9.0,9.47,7.74,7.74,2017-12-11,1010763.5,8778416.73
7.74,8.44,7.58,8.39,2017-12-10,1010440.57,7981443.26
8.39,9.07,8.0,8.25,2017-12-09,1203856.5,10349008.39
8.25,8.54,7.39,7.62,2017-12-08,1560824.39,12452823.9
7.62,8.91,7.62,8.58,2017-12-07,1447220.3,11758725.18
8.56,10.06,8.34,9.97,2017-12-06,1552388.15,14127109.13
9.97,10.56,9.72,10.48,2017-12-05,1434807.56,14516049.94
10.48,10.61,9.01,9.39,2017-12-04,1246575.41,12121818.7
9.42,10.14,8.73,9.28,2017-12-03,1806415.78,17334596.66
9.28,9.7,8.52,8.87,2017-12-02,1277181.74,11731495.21
8.87,8.97,7.73,8.06,2017-12-01,1340173.02,11432723.25
8.06,8.54,7.04,7.88,2017-11-30,1888061.09,14915769.89
7.87,9.43,6.42,9.4,2017-11-29,2603970.03,22172792.03
9.38,9.95,8.95,9.49,2017-11-28,2102883.91,19813518.68
9.5,9.52,8.4,8.45,2017-11-27,2094257.82,18755584.92
8.37,8.75,8.18,8.73,2017-11-26,184028.13,1545550.37
8.75,8.96,7.57,7.6,2017-11-25,2612388.31,21770542.48
7.59,7.75,7.38,7.69,2017-11-24,825096.49,6256426.75
7.69,8.18,7.67,7.97,2017-11-23,1166020.73,9172066.77
7.97,8.01,7.62,7.65,2017-11-22,759752.47,5913638.68
7.65,8.1,7.53,8.04,2017-11-21,1389147.49,10801157.93
8.04,8.2,7.77,7.77,2017-11-20,956185.5,7651684.88
7.81,8.24,7.63,7.92,2017-11-19,987399.67,7882826.77
7.92,8.62,7.4,7.58,2017-11-18,2694671.35,21728320.45
7.58,7.79,7.09,7.19,2017-11-17,1164329.74,8598593.73
7.2,7.72,7.1,7.71,2017-11-16,901930.46,6647591.34
7.73,8.04,7.26,7.82,2017-11-15,1138107.96,8739337.67
7.82,7.9,7.2,7.5,2017-11-14,1083827.98,8174110.32
7.51,7.67,6.54,6.58,2017-11-13,1981878.51,14473369.04
6.58,7.33,6.04,7.26,2017-11-12,2107707.19,14104776.58
7.27,7.56,6.85,6.97,2017-11-11,1372022.45,9840388.2
