Price,High,Low,Open,Date,Volumefrom,Volumeto
0.2489,0.259,0.228,0.2356,2018-01-18,1918792.5,472022.96
0.2274,0.2361,0.2065,0.2161,2018-01-17,4128239.6,938761.69
0.2184,0.2521,0.2175,0.2514,2018-01-16,6028568.97,1316639.46
0.3037,0.3229,0.2995,0.3182,2018-01-15,3659990.29,1111539.05
0.3216,0.3302,0.3161,0.3198,2018-01-14,3400491.67,1093598.12
0.3347,0.3551,0.3321,0.3502,2018-01-13,6253512.4,2093050.6
0.3402,0.3528,0.3175,0.3203,2018-01-12,6075207.74,2066785.67
0.3079,0.332,0.299,0.3304,2018-01-11,8818883.33,2715334.18
0.3705,0.4054,0.3614,0.3764,2018-01-10,11647372.79,4315351.62
0.3649,0.3908,0.3432,0.3467,2018-01-09,10833518.53,3953150.91
0.3585,0.3708,0.3443,0.3603,2018-01-08,8613304.77,3087869.76
0.3882,0.4029,0.3621,0.3745,2018-01-07,8195078.03,3181329.29
0.3965,0.4121,0.3395,0.3489,2018-01-06,13136913.99,5208786.4
0.3442,0.4056,0.342,0.3945,2018-01-05,13142440.25,4523627.93
0.3561,0.3898,0.3493,0.3798,2018-01-04,12439228.26,4429609.18
0.3792,0.4036,0.3401,0.3923,2018-01-03,21495951.47,8151264.8
0.3812,0.4636,0.3432,0.4217,2018-01-02,25587496.33,9753953.6
0.3841,0.4293,0.3676,0.3949,2018-01-01,21913149.54,8416840.74
0.4066,0.54,0.3759,0.4094,2017-12-31,67741075.7,27543521.38
0.3696,0.3912,0.2783,0.3056,2017-12-30,29588043.7,10935740.95
0.3477,0.4217,0.3404,0.3831,2017-12-29,31249300.28,10865381.71
0.3793,0.3906,0.3024,0.3158,2017-12-28,32702360.47,12404005.33
0.3381,0.3735,0.3069,0.3103,2017-12-27,24466548.13,8272139.92
0.3172,0.3767,0.2962,0.3679,2017-12-26,19343140.27,6135644.09
0.3232,0.3393,0.2992,0.3066,2017-12-25,21091610.82,6816808.62
0.3054,0.3094,0.2872,0.2976,2017-12-24,9593975.63,2930000.16
0.3108,0.3408,0.2946,0.2969,2017-12-23,15162913.44,4712633.5
0.2818,0.32,0.2682,0.2866,2017-12-22,22252799.09,6270838.78
0.3287,0.3641,0.3076,0.3234,2017-12-21,24631653.67,8096424.56
0.3406,0.3444,0.2835,0.3152,2017-12-20,19196832.97,6538441.31
0.3363,0.381,0.3196,0.3308,2017-12-19,26969734.21,9069921.61
0.3588,0.3688,0.343,0.3459,2017-12-18,14123351.98,5067458.69
