Price,High,Low,Open,Date,Volumefrom,Volumeto
0.05048,0.05225,0.04716,0.04982,2018-01-18,322217804.38,16278443.48
0.04811,0.05191,0.03416,0.0355,2018-01-17,2563774077.31,123343170.86
0.03588,0.04694,0.03182,0.04603,2018-01-16,1883956132.99,67596346.05
0.05616,0.06339,0.05412,0.0593,2018-01-15,988392131.74,55508102.12
0.05946,0.06383,0.05728,0.06137,2018-01-14,1067472177.01,63471895.65
0.06409,0.07264,0.06182,0.06723,2018-01-13,1425745689.54,91376041.24
0.06547,0.06851,0.06173,0.06644,2018-01-12,2020731163.6,132297269.28
0.06375,0.07013,0.05124,0.05949,2018-01-11,1943403063.35,123891945.29
0.06699,0.07475,0.06311,0.07385,2018-01-10,1210606213.56,81098510.25
0.07147,0.07654,0.0654,0.06901,2018-01-09,1188011368.38,84907172.5
0.07129,0.07907,0.06065,0.07862,2018-01-08,1906263916.74,135897554.62
0.08487,0.08698,0.07319,0.07449,2018-01-07,2052417758.51,174188695.16
0.07796,0.09616,0.05976,0.06319,2018-01-06,4531373579.06,353265884.22
0.06222,0.06833,0.04239,0.04425,2018-01-05,4215940707.66,262315830.83
0.03932,0.04463,0.03082,0.03294,2018-01-04,2265720838.78,89088143.38
0.03289,0.03334,0.02759,0.03122,2018-01-03,1099785339.37,36171939.81
0.03039,0.03379,0.02641,0.03364,2018-01-02,1201157713.29,36503182.91
0.03052,0.03079,0.0285,0.02891,2018-01-01,566537877.31,17290736.02
0.02992,0.03213,0.0295,0.03089,2017-12-31,802171984.33,24000985.77
0.02807,0.0287,0.02531,0.02769,2017-12-30,1292080626.72,36268703.19
0.03195,0.03382,0.0272,0.0285,2017-12-29,1676369704.74,53560012.07
0.02851,0.03024,0.02477,0.02678,2017-12-28,1449601835.48,41328148.33
0.02867,0.03823,0.02544,0.02852,2017-12-27,2316327139.35,66409099.09
0.02931,0.03577,0.02427,0.03167,2017-12-26,3022886322.81,88600798.12
0.02767,0.03763,0.02559,0.03348,2017-12-25,2591371003.37,71703235.66
0.03351,0.03351,0.02579,0.02717,2017-12-24,2538562420.23,85067226.7
0.02836,0.03196,0.02016,0.0203,2017-12-23,3380193873.44,95862298.25
0.01913,0.02227,0.01558,0.02159,2017-12-22,2208654831.12,42251566.92
0.02486,0.02829,0.02063,0.0222,2017-12-21,3032204141.9,75380594.97
0.02354,0.02568,0.01383,0.01515,2017-12-20,4318078452.16,101647566.76
0.01612,0.01665,0.01419,0.01507,2017-12-19,1670657844.34,26931004.45
