Price,High,Low,Open,Date,Volumefrom,Volumeto
0.4451,0.4754,0.334,0.4567,2018-01-11,20844671.56,9421791.55
0.5053,0.6113,0.4786,0.5577,2018-01-10,15665933.6,7915996.25
0.5407,0.5682,0.5226,0.5582,2018-01-09,15058842.26,8142316.01
0.5811,0.599,0.4815,0.5246,2018-01-08,34411493.75,19996519.02
0.5686,0.615,0.4868,0.5071,2018-01-07,22641350.5,12873871.89
0.5366,0.6182,0.4487,0.5141,2018-01-06,23257250.28,12479840.5
0.5083,0.7343,0.4642,0.6316,2018-01-05,29279023.11,14882527.45
0.5693,0.8118,0.5655,0.6064,2018-01-04,45438437.97,25868102.74
0.6019,0.6548,0.5458,0.6296,2018-01-03,35620113.77,21439746.48
0.6086,0.7376,0.544,0.6533,2018-01-02,31770105.57,19335286.25
0.5953,0.6454,0.5526,0.5728,2018-01-01,30371604.45,18080216.13
0.5877,0.6295,0.5623,0.6295,2017-12-31,19886496.4,11687293.93
0.5688,0.6265,0.5006,0.5752,2017-12-30,44891617.45,25534352.01
0.6621,0.7599,0.6541,0.7599,2017-12-29,30770683.11,20373269.29
0.7492,0.7775,0.5761,0.7248,2017-12-28,47824859.78,35830384.95
0.7761,0.8826,0.5781,0.66,2017-12-27,81449149.95,63212685.28
0.6744,0.6901,0.4795,0.52,2017-12-26,69357923.39,46774983.53
0.4565,0.5078,0.3465,0.3687,2017-12-25,73109902.22,33374670.36
0.3674,0.3857,0.2987,0.3155,2017-12-24,32239650.78,11844847.7
0.3259,0.3645,0.2878,0.2878,2017-12-23,41982942.98,13682241.12
0.2733,0.33,0.2215,0.3288,2017-12-22,37018185.05,10117069.97
0.376,0.3974,0.31,0.3233,2017-12-21,37353034.37,14044740.92
0.3404,0.3567,0.3113,0.3335,2017-12-20,21736400.66,7399070.78
0.3543,0.3855,0.3261,0.357,2017-12-19,34174439.36,12108003.87
0.3884,0.4134,0.3282,0.3423,2017-12-18,43384712.33,16850622.27
0.3438,0.3617,0.3031,0.3296,2017-12-17,31329369.39,10771037.2
0.3316,0.3962,0.3153,0.3668,2017-12-16,39916843.73,13236425.38
0.3357,0.3935,0.2665,0.344,2017-12-15,83994464.42,28196941.71
0.3208,0.4884,0.2254,0.232,2017-12-14,175681793.0,56358719.19
0.2285,0.2438,0.1982,0.2207,2017-12-13,31711523.59,7246083.14
0.2315,0.251,0.217,0.226,2017-12-12,30828269.58,7136744.41
0.2222,0.2764,0.1951,0.2015,2017-12-11,57757053.45,12833617.28
0.1815,0.2116,0.1524,0.2093,2017-12-10,31782246.97,5768477.83
0.2063,0.2376,0.1937,0.1953,2017-12-09,31051678.84,6405961.34
0.2112,0.2396,0.1605,0.2182,2017-12-08,43453173.8,9177310.31
0.2292,0.3589,0.2233,0.3025,2017-12-07,74254724.06,17019182.75
0.2452,0.3066,0.1704,0.2262,2017-12-06,95474489.05,23410344.72
0.1925,0.2613,0.1874,0.2009,2017-12-05,99546791.96,19162757.45
0.2002,0.2254,0.1309,0.1354,2017-12-04,105632455.46,21147617.58
0.131,0.1518,0.1182,0.1318,2017-12-03,78509612.91,10284759.29
0.1255,0.1613,0.07868,0.0789,2017-12-02,215977758.37,27105208.68
0.07853,0.07853,0.07277,0.07657,2017-12-01,22504954.25,1767314.06
0.07012,0.08873,0.06485,0.06863,2017-11-30,35948461.1,2520706.09
0.06788,0.0969,0.06237,0.07693,2017-11-29,65999586.82,4480051.95
0.07747,0.1069,0.07439,0.106,2017-11-28,72613761.38,5625388.09
0.104,0.1509,0.08916,0.08916,2017-11-27,191985233.82,19966464.32
0.08517,0.1292,0.04846,0.04948,2017-11-26,246551140.6,20998760.64
0.04666,0.05148,0.04579,0.05043,2017-11-25,8543578.31,398643.36
0.04724,0.05823,0.04059,0.04182,2017-11-24,27915027.26,1318705.89
0.04087,0.04335,0.03895,0.04087,2017-11-23,4439586.22,181445.89
0.042,0.04694,0.03862,0.03903,2017-11-22,10724059.1,450410.48
0.03839,0.04163,0.03734,0.04099,2017-11-21,7392557.04,283800.26
0.04172,0.04452,0.04131,0.04238,2017-11-20,2158909.77,90069.72
0.04134,0.04978,0.03965,0.04367,2017-11-19,5079306.95,209978.55
0.04225,0.04264,0.03836,0.04054,2017-11-18,2562432.52,108262.77
0.04012,0.0422,0.03865,0.03904,2017-11-17,3159552.62,126761.25
0.03982,0.04854,0.0395,0.04665,2017-11-16,6024874.92,239910.52
0.04326,0.04676,0.04093,0.04486,2017-11-15,2870988.64,124198.97
0.04064,0.04295,0.03925,0.03978,2017-11-14,3313003.38,134640.46
0.03933,0.04083,0.03744,0.04044,2017-11-13,2661642.7,104682.41
0.03644,0.03644,0.03233,0.03586,2017-11-12,5188232.32,189059.19
0.03867,0.04058,0.03671,0.0395,2017-11-11,5826031.72,225292.65
0.0409,0.04852,0.03782,0.03874,2017-11-10,22108573.03,904240.64
0.04206,0.04206,0.03707,0.03793,2017-11-09,4771222.54,200677.62
0.0396,0.04206,0.03596,0.04094,2017-11-08,5653968.6,223897.16
0.03907,0.04198,0.03736,0.04141,2017-11-07,4325500.53,168997.31
0.04057,0.04871,0.03514,0.03521,2017-11-06,20243046.59,821260.4
0.03739,0.04072,0.03495,0.03673,2017-11-05,4090519.8,152944.54
0.0366,0.0394,0.03513,0.03542,2017-11-04,3637769.75,133142.37
0.0344,0.04019,0.0334,0.03533,2017-11-03,4065480.99,139852.55
0.0347,0.04166,0.03182,0.03864,2017-11-02,6682184.16,231871.79
0.03706,0.04588,0.03706,0.04508,2017-11-01,10812336.69,400705.2
0.04309,0.06374,0.04,0.05651,2017-10-31,48143180.56,2074489.65
0.05304,0.06694,0.0343,0.03466,2017-10-30,70531536.62,3740992.7
0.03479,0.03904,0.03418,0.03523,2017-10-29,2934746.77,102099.84
0.03281,0.03522,0.0315,0.0331,2017-10-28,1297402.61,42567.78
0.03332,0.03395,0.03049,0.0313,2017-10-27,980812.25,32680.66
0.03197,0.03686,0.0312,0.03644,2017-10-26,1620913.73,51820.61
0.03549,0.04002,0.03234,0.03297,2017-10-25,4396848.05,156044.14
0.0317,0.03578,0.02646,0.02839,2017-10-24,3494493.71,110775.45
0.0304,0.03217,0.0284,0.03194,2017-10-23,1318341.2,40077.57
0.03237,0.03482,0.03087,0.0338,2017-10-22,1265423.87,40961.77
0.03304,0.03502,0.03075,0.03346,2017-10-21,1724285.23,56970.38
0.03338,0.04129,0.03338,0.03476,2017-10-20,3254398.94,108631.84
0.03305,0.03898,0.03277,0.03755,2017-10-19,1539778.87,50889.69
0.03658,0.03674,0.03362,0.03418,2017-10-18,917144.55,33549.15
0.03432,0.03975,0.0309,0.03191,2017-10-17,4984406.93,171064.85
0.03283,0.03565,0.02304,0.03473,2017-10-16,2903732.73,95329.55
0.0343,0.03976,0.03111,0.03413,2017-10-15,2020290.42,69295.96
0.03495,0.03932,0.03472,0.03739,2017-10-14,1886601.38,65936.72
0.03619,0.04132,0.03495,0.0411,2017-10-13,1907276.43,69024.33
0.0396,0.04672,0.03727,0.0465,2017-10-12,2834064.96,112228.97
0.0413,0.04448,0.03464,0.03469,2017-10-11,4662571.99,192564.22
0.03425,0.03501,0.03287,0.03453,2017-10-10,1975054.32,67645.61
0.03464,0.03951,0.0343,0.03488,2017-10-09,2570625.55,89046.47
