Price,High,Low,Open,Date,Volumefrom,Volumeto
4.66,4.66,4.2,4.33,2018-01-18,177419.48,810807.02
4.19,4.21,3.59,3.97,2018-01-17,986249.92,4132387.16
4.02,4.88,3.56,4.65,2018-01-16,1418929.02,5704094.66
5.61,6.01,5.45,5.89,2018-01-15,877915.37,4925105.23
5.9,6.15,5.76,6.15,2018-01-14,582519.64,3436865.88
6.42,6.62,6.07,6.13,2018-01-13,1227538.76,7880798.84
5.96,6.07,5.59,5.73,2018-01-12,812338.04,4841534.72
5.51,5.87,5.33,5.81,2018-01-11,1350589.1,7441745.94
6.52,6.93,6.05,6.54,2018-01-10,1753880.65,11435301.84
6.36,6.8,6.33,6.71,2018-01-09,1098333.45,6985400.74
6.95,7.22,6.3,6.43,2018-01-08,2140462.97,14876217.64
6.97,7.45,6.62,6.66,2018-01-07,1416432.36,9872533.55
7.05,7.31,6.35,6.66,2018-01-06,1681819.89,11856830.22
6.58,8.19,6.42,7.7,2018-01-05,2218124.16,14595256.97
6.89,7.46,6.68,7.18,2018-01-04,2111735.98,14549860.9
7.17,7.6,6.99,7.55,2018-01-03,1942243.69,13925887.26
7.35,8.45,6.66,7.37,2018-01-02,3232900.09,23761815.66
6.71,6.97,6.33,6.42,2018-01-01,1478364.26,9919824.18
6.62,6.95,6.53,6.84,2017-12-31,1054629.53,6981647.49
6.17,6.38,5.87,6.19,2017-12-30,1368406.33,8443067.06
7.1,7.47,6.65,7.01,2017-12-29,1923408.54,13656200.63
7.02,7.13,6.41,6.88,2017-12-28,1343134.78,9428806.16
7.38,7.71,6.75,7.43,2017-12-27,1854098.99,13683250.55
7.57,8.8,7.04,8.5,2017-12-26,1973886.54,14942321.11
7.46,7.75,7.19,7.53,2017-12-25,2011742.79,15007601.21
7.51,7.83,7.12,7.64,2017-12-24,1810327.33,13595558.25
7.93,8.1,7.08,7.12,2017-12-23,2526511.34,20035234.93
6.76,8.56,6.15,8.08,2017-12-22,3018650.38,20406076.57
9.23,9.43,7.84,8.18,2017-12-21,3666173.89,33838785.0
8.65,8.68,7.59,8.44,2017-12-20,2597452.11,22467960.75
8.96,9.37,8.43,8.72,2017-12-19,2946907.46,26404290.84
9.44,10.05,8.29,8.31,2017-12-18,3687709.59,34811978.53
8.34,8.93,7.69,7.86,2017-12-17,2575984.42,21483710.06
7.93,9.56,7.74,8.47,2017-12-16,1866774.43,14803521.23
7.71,8.64,7.06,8.64,2017-12-15,1866603.62,14391513.91
8.08,8.36,7.44,8.14,2017-12-14,2157251.02,17430588.24
8.05,8.27,7.43,8.11,2017-12-13,2061247.62,16593043.34
